model,r2,mse,rmse,mae,seed_count,group,metric
catboost,0.2817792093143095,25.951047357502397,5.094217050489938,3.5190854517979924,10,direct,r2
catboost,0.2817792093143095,25.951047357502397,5.094217050489938,3.5190854517979924,10,direct,mse
catboost,0.2817792093143095,25.951047357502397,5.094217050489938,3.5190854517979924,10,direct,rmse
catboost,0.2817792093143095,25.951047357502397,5.094217050489938,3.5190854517979924,10,direct,mae
xgboost__vae,0.34265835083007834,23.954710647606895,4.890388623634215,3.5857204389698487,10,feature,r2
hist_gbr__vae_miwae,0.3247137680347868,21.280379590834123,4.611370042890153,3.3262386866657634,10,feature,mse
hist_gbr__vae_miwae,0.3247137680347868,21.280379590834123,4.611370042890153,3.3262386866657634,10,feature,rmse
hist_gbr__vae_miwae,0.3247137680347868,21.280379590834123,4.611370042890153,3.3262386866657634,10,feature,mae
random_forest__hmc_vae,0.3261469328810819,37.00277927947531,6.081680333291921,4.0667897957355645,10,complete,r2
random_forest__hyperimpute,0.2633864512855334,31.985333441435206,5.654800432486068,3.9206861635372063,10,complete,mse
random_forest__hyperimpute,0.2633864512855334,31.985333441435206,5.654800432486068,3.9206861635372063,10,complete,rmse
random_forest__堆叠,0.22401269912418478,35.33190210249707,5.936763354550054,3.8372984730964093,5,complete,mae
