model,r2,mse,rmse,mae,seed_count
random_forest__hmc_vae,0.3261469328810819,37.00277927947531,6.081680333291921,4.0667897957355645,10
random_forest__h_vae,0.3257129052247019,36.909528220158265,6.072269271129427,4.059903342138659,10
random_forest__hh_vaem,0.3237848731204523,37.804968985377144,6.145704703418698,4.10541908329123,10
random_forest__vanilla,0.32371962915200214,37.73764436714649,6.1404399639906035,4.090163123318405,10
random_forest__hver,0.3233819415819921,37.24339972020563,6.100450184869061,4.064210188895747,10
random_forest__vae,0.3230532111494781,37.10491516088517,6.088391162483504,4.069617003501766,10
gbdt__vanilla,0.3141681339778312,41.4451789681678,6.437703776082136,4.37320265617468,10
gbdt__hmc_vae,0.3108388798066838,43.07834643645241,6.562155960879392,4.431620306647557,10
gbdt__hver,0.30645803955848905,41.87478446061841,6.471069839032428,4.377199394561649,10
gbdt__hh_vaem,0.30460583242992345,46.55508353124223,6.8131303289441885,4.553139836069432,10
random_forest__sinkhorn,0.3026366716725534,39.34244825406899,6.270735522883947,4.16555767058467,10
gbdt__vae,0.29212642648019355,50.469988401309145,7.104166846471617,4.704325207439251,10
gbdt__h_vae,0.28409751108985787,49.05146144216172,6.99148562559687,4.682922891513769,10
gbdt__sinkhorn,0.2792556623345985,39.71313766892818,6.301836055383238,4.371175805511333,10
random_forest__hyperimpute,0.2633864512855334,31.985333441435206,5.654800432486068,3.9206861635372063,10
random_forest__mice_iterativeimputer,0.26314343769025683,35.77794243905611,5.979581656372028,4.11116573501257,10
random_forest__rfe_missforest,0.25503812524755426,41.90930844793238,6.471832202188695,4.373967268295312,10
gbdt__rfe_missforest,0.24542908864064664,44.3246729778658,6.655336843024196,4.633174988959499,10
random_forest__堆叠,0.22401269912418478,35.33190210249707,5.936763354550054,3.8372984730964093,5
random_forest__vae_miwae,0.1747618124278253,37.28371213157051,6.1029071768995165,4.193305035781593,10
gbdt__knn_based_method_matimputer,0.1389636417639065,41.422379136926885,6.433535739076094,4.53655183248793,10
random_forest__missforest,0.13769866019812227,32.22635493474761,5.675519978978474,3.8945406146367008,10
multioutput_svr__h_vae,0.10276115735647133,73.00745795407782,8.544440156371282,4.748754041829476,10
multioutput_svr__hmc_vae,0.10255996547572159,73.01873955456605,8.545100296505629,4.756604561643902,10
multioutput_svr__hh_vaem,0.10251122421956475,73.05685494943683,8.547330133924856,4.755593370561864,10
multioutput_svr__vanilla,0.1002528617539618,73.0544146551251,8.547187502600192,4.7486794696391845,10
multioutput_svr__hver,0.09976690290849524,73.04141303006078,8.546426907896066,4.753198164902243,10
multioutput_svr__vae,0.0969060144479629,73.10800243037703,8.550321420651139,4.750536499635382,10
multioutput_svr__sinkhorn,0.09604875952311656,71.71792927447072,8.46864388638882,4.8224574902288575,10
multitask_gp__h_vae,0.080479623079951,88.65772598389215,9.415458771386215,5.061317474807313,10
multitask_gp__hver,0.07700351986882695,89.68705003100732,9.470320991489556,5.088167890911893,10
multitask_gp__hmc_vae,0.07593198532567284,90.33911887529908,9.504688313248403,5.116850584275896,10
multitask_gp__vanilla,0.07570378009653704,90.38775890344866,9.50724770379277,5.10928125116085,10
multitask_gp__hh_vaem,0.07533728849319529,90.45056608995273,9.510550209515802,5.120854132486461,10
multitask_gp__vae,0.07405276041915229,90.38470031522647,9.507078369403649,5.110978710286903,10
gbdt__堆叠,0.056743081519874915,43.58891430294551,6.586020904061341,4.70011880674334,5
gbdt__gtmcc,0.051003540382059995,78.20318035423712,8.842562137692678,5.290694392881521,10
multioutput_svr__rfe_missforest,0.04359625366809658,72.31850334017523,8.504027627122358,5.0424658965244324,10
gbdt__vae_miwae,0.033784030623385204,49.88115495632906,7.0625518516570365,4.760720663320358,10
multitask_gp__rfe_missforest,0.027454160606824568,86.63089992851617,9.307571477737376,5.162445160455103,10
multitask_gp__sinkhorn,0.026719978832830997,88.39488085816645,9.401855181726978,5.091916569650817,10
multioutput_svr__knn_based_method_matimputer,0.01233605263021202,65.67994176812789,8.104198670342003,5.03783968088724,10
ridge__hmc_vae,-0.00295012575290045,103.55250080907231,10.176074518159814,5.565979461028143,10
ridge__hh_vaem,-0.0030729446999329,103.50848831884153,10.173912063721732,5.56545700056857,10
ridge__h_vae,-0.0031990598380612504,103.50580690282962,10.173780107708216,5.5644449374644465,10
ridge__hver,-0.0035831246921315,103.41491651302904,10.169312478457147,5.564413991887956,10
ridge__vanilla,-0.0040012351549556496,103.55920873558864,10.176404484076887,5.5640942309015635,10
ridge__sinkhorn,-0.0046551314204230495,101.66777605788668,10.08304398769968,5.563576417242782,10
