model,r2,mse,rmse,mae,seed_count
random_forest__hyperimpute,0.2664701349570091,31.507344920964726,5.613140379588304,3.8999409563106218,1
random_forest__vae,0.3430106634523401,31.95099752418765,5.652521342214255,3.86831099666377,1
random_forest__vae_miwae,0.1788555512089491,32.75787824184312,5.723449854925185,3.985432649561579,1
random_forest__h_vae,0.3421763438253634,32.93728022237708,5.739100994265311,3.893038722734605,1
random_forest__vanilla,0.335885773996481,33.66656072959209,5.802289266280344,3.9035240216139,1
random_forest__mice_iterativeimputer,0.2873518555737424,34.051649293185626,5.83537910449575,4.005677129574718,1
random_forest__hver,0.3341801325108323,34.39076127899099,5.8643636721293975,3.922852273102873,1
random_forest__hh_vaem,0.3378076678374296,34.41390241223364,5.866336370532603,3.947216834305967,1
random_forest__hmc_vae,0.331599517919519,35.343052246716546,5.94500229156529,4.034506786662075,1
random_forest__sinkhorn,0.3049073369366452,38.43629617166479,6.199701296971072,4.172294325048707,1
gbdt__hyperimpute,-0.0450057351492856,38.92338585225859,6.238860941891444,4.703169628206194,1
gbdt__sinkhorn,0.2792556623345985,39.71313766892818,6.301836055383238,4.371175805511333,1
gbdt__hh_vaem,0.314130444619347,41.52371429124928,6.4438896864587365,4.378043629374655,1
gbdt__vanilla,0.3085234598262881,41.8816267191419,6.471601557508149,4.4163322698669685,1
gbdt__hver,0.3071260017747171,41.95622639868435,6.477362611332204,4.387320996377351,1
gbdt__h_vae,0.316749018708335,43.27613562383338,6.578459973567779,4.449246978715388,1
gbdt__hmc_vae,0.3019262663398661,44.76192412287139,6.690435271555312,4.536175166136771,1
gbdt__knn_based_method_matimputer,0.0910727226186147,45.8068913735042,6.768078853966183,4.745525131749483,1
random_forest__knn_based_method_matimputer,0.0048953750061417,48.99071942710897,6.99933707054525,4.701003154647271,1
gbdt__vae,0.2903300516457738,50.06765946744165,7.075850441285602,4.70610575221841,1
gbdt__vae_miwae,0.0400820268568915,50.43118203005966,7.101491535590228,4.7587006056006205,1
random_forest__knn插补,-0.5575330745460896,50.48884746912389,7.105550469113839,5.260376870330692,1
gbdt__knn插补,-0.7048471282224091,52.41316998170006,7.23969405304534,5.553660680878953,1
gbdt__softimpute,-0.0466227120067764,56.24451397958845,7.499634256388004,5.429636527337901,1
gbdt__mice_iterativeimputer,-0.0405186373140092,60.24974333686877,7.762070814986731,5.349895395668146,1
random_forest__softimpute,-0.0235286119279121,62.751935003957335,7.921611894302657,5.551307265498652,1
multioutput_svr__knn_based_method_matimputer,-0.0071290194845313,65.4807697416096,8.09201889157518,5.077328115503376,1
multioutput_svr__hyperimpute,-0.4355131045874226,68.33670162751972,8.266601576677063,5.475818552478305,1
multioutput_svr__sinkhorn,0.0960487595231166,71.71792927447072,8.468643886388818,4.8224574902288575,1
multioutput_svr__h_vae,0.1034015657202706,72.99708755569426,8.543833305706185,4.744446673426411,1
multioutput_svr__hmc_vae,0.1030376592398008,73.0305457225417,8.545791111567244,4.764658122765549,1
multioutput_svr__hver,0.0998604951600264,73.04776391352001,8.546798459863203,4.756127377167423,1
multioutput_svr__vanilla,0.0990223439357069,73.06588853624343,8.547858710591994,4.74506628829466,1
multioutput_svr__vae,0.098127094141637,73.06599630562593,8.547865014471505,4.752502830344136,1
multioutput_svr__hh_vaem,0.1019163444264228,73.08405177987362,8.548921088644672,4.760200130279004,1
multioutput_svr__mice_iterativeimputer,-0.27619288927171,74.82727726071747,8.650276137830367,5.093353764417974,1
gbdt__gtmcc,0.0701369127651102,76.24378388590637,8.731768657374426,5.297275003069236,1
gbdt__mida,-2.198356060379089,76.65876715961623,8.755499252447928,6.847468200344752,1
multioutput_svr__knn插补,-0.7740898928832926,76.67995314170344,8.756709036030799,5.650739466888925,1
multioutput_svr__vae_miwae,-0.1148644736516412,78.04489448757553,8.834302150570554,4.921763465082553,1
random_forest__gain,-2.2399163424468163,79.09908962465992,8.893766897364689,6.938882411971511,1
gbdt__gain,-2.621845854627628,79.1278015860282,8.895380912924876,6.829614558180771,1
multitask_gp__knn_based_method_matimputer,-0.0656942414190737,80.55543330701819,8.975267868259877,5.091868489393617,1
multitask_gp__hyperimpute,-0.237596581420293,82.10564686512781,9.061216632722552,5.525094227978723,1
random_forest__mida,-2.50505101062104,84.1122997697342,9.171275798368196,7.750999446957632,1
multitask_gp__sinkhorn,0.0267199750034929,88.39488132167635,9.401855206376895,5.091916581819149,1
multitask_gp__hver,0.0767699479914371,89.84591354027371,9.478708432074155,5.095505190329787,1
multioutput_svr__gtmcc,-0.3656836142421659,89.96292133353325,9.484878561875911,6.611112162260076,1
multitask_gp__vae,0.0753453397680872,90.14329296622172,9.49438217927958,5.103550686606383,1
multitask_gp__h_vae,0.0759230052055014,90.21763857321562,9.49829661429962,5.103379812670213,1
multitask_gp__vanilla,0.0753087939553916,90.38687197186366,9.507201058769276,5.107526704159575,1
multitask_gp__hmc_vae,0.0766781427568614,90.42185509513706,9.509040703201194,5.127822988202127,1
multitask_gp__hh_vaem,0.0748415005704649,90.43352938767325,9.509654535663914,5.123562373308511,1
random_forest__miwae,-1.849092839265325,92.933985504894,9.640227461263246,7.303577751263974,1
