model,r2,mse,rmse,mae,seed_count
hist_gbr__vae_miwae,0.3335427538527691,20.881934124056404,4.569675494393054,3.2900509720582893,1
sst_xgb__hmc_vae,0.3629957971660307,24.125639885775943,4.911785814322114,3.39323300212859,1
lightgbm__vae_miwae,0.3374425650838399,23.22797785766752,4.819541249711172,3.396538425726976,1
erc_xgb__h_vae,0.355704929322691,25.40701713889044,5.040537385923295,3.501735719582181,1
xgboost__vae,0.3437646952707935,23.277936376556116,4.824721378127043,3.559438773095745,1
erc_xgb__sinkhorn,0.3502042818464441,27.840167032499384,5.276378211661801,3.634230818887892,1
erc_xgb__hmc_vae,0.3585397335974709,25.994756694213464,5.098505339235556,3.653962807728728,1
xgboost__hh_vaem,0.3175164638847536,27.054419596094483,5.201386314829392,3.684620875010639,1
erc_xgb__hh_vaem,0.3465845380740586,27.447135992962984,5.239001430899116,3.7301985045228094,1
xgboost__sinkhorn,0.3243932621487631,28.501409332487324,5.338671120465029,3.7364600821382976,1
xgboost__vae_miwae,0.2508748102082385,32.63585497594757,5.712779969152284,3.754398183202128,1
xgboost__hver,0.2999478114519044,25.690011777511053,5.068531520816562,3.767776242031916,1
xgboost__hmc_vae,0.3402674300446532,29.379111076576244,5.420250093545153,3.7865476624574463,1
xgboost__vanilla,0.3036163303212035,27.603539274200383,5.253907048492615,3.795614161074469,1
erc_xgb__vanilla,0.3360904019986335,29.26684093887143,5.409883634503743,3.804261355115835,1
erc_xgb__vae_miwae,0.2541511051877901,31.740479935874248,5.633869002370773,3.8049829180893378,1
lightgbm__mice_iterativeimputer,0.0334755712989659,25.482363574348096,5.048005900783803,3.8355388673542823,1
hist_gbr__vanilla,0.3250566956099755,29.3545218794828,5.417981347280811,3.864773888586977,1
xgboost__h_vae,0.3235621997003648,29.98105023490612,5.4754954328267065,3.907564362563829,1
erc_xgb__hver,0.3375756644400986,31.289872876448925,5.593735145361186,3.9140495197949625,1
xgboost__堆叠,0.1246643232845285,26.27875719500364,5.126281029655284,3.940007522010639,1
hist_gbr__hh_vaem,0.3106725018030501,32.47927251028264,5.699058914442159,3.9637864406257215,1
hist_gbr__hmc_vae,0.2989323249742302,33.075495675848664,5.751129947744936,3.977804699327424,1
hist_gbr__hver,0.3171900990983716,32.55191506389907,5.705428560932042,3.980401919071718,1
hist_gbr__h_vae,0.3081802065075398,33.63764966283355,5.79979738118786,3.9948188198977816,1
hist_gbr__vae,0.3098405947969382,32.65246199654334,5.714233281599846,4.020710845982787,1
hist_gbr__堆叠,0.1535452284567938,28.62370893705547,5.350112983578521,4.0526008923377645,1
lightgbm__堆叠,0.1068456939723708,28.05828814056733,5.297007470314473,4.053384770608001,1
erc_xgb__vae,0.3164416282549627,37.5310458731215,6.126258717449133,4.0662434790931785,1
lightgbm__vanilla,0.305427808362172,35.94368180529805,5.9953049801739065,4.078015448634041,1
lightgbm__vae,0.3090865230877522,37.81121946476844,6.149082814921949,4.098090496945105,1
sst_xgb__vae_miwae,0.2257741624348916,45.07442139123498,6.713748683949599,4.113898928196408,1
erc_xgb__hyperimpute,0.0145822438292905,27.029265331660906,5.198967717889861,4.116696122589419,1
hist_gbr__hyperimpute,-0.071342591522165,27.77269735190536,5.269980773390484,4.169033901481208,1
sst_xgb__vanilla,0.2511228708511094,38.10564412437248,6.172976925630977,4.176075596207187,1
lightgbm__h_vae,0.3018017027683768,39.771033520921165,6.306427952567219,4.182004300401994,1
hist_gbr__knn_based_method_matimputer,0.0651449294077742,43.8133862096694,6.619168090452862,4.182174559870495,1
hist_gbr__sinkhorn,0.269924718411164,39.6054996270648,6.293290047905372,4.2082751981864215,1
lightgbm__hmc_vae,0.2946697747584949,40.31294881113045,6.349247893343782,4.212330874545688,1
lightgbm__hh_vaem,0.2943472549126595,40.35264089827016,6.352372855734317,4.213226872121935,1
hist_gbr__mice_iterativeimputer,0.1088916361642153,37.26149955614438,6.104219815516507,4.283910324440564,1
lightgbm__sinkhorn,0.2647161265974669,40.66891610441612,6.377218524122889,4.314834215965647,1
lightgbm__gtmcc,0.3074888969902178,41.9681476251769,6.478282768232404,4.31749490629161,1
lightgbm__hyperimpute,-0.09792929925273,35.69667356258296,5.974669326630802,4.427897978974631,1
xgboost__hyperimpute,-0.2237964782851446,32.90897392158785,5.736634372311682,4.442415410914893,1
sst_xgb__h_vae,0.2699233724297247,48.06434171752317,6.93284513872358,4.489824592760973,1
sst_xgb__hver,0.2531335408756791,48.24268555691899,6.94569546963578,4.491551014112623,1
hist_gbr__gtmcc,0.268479169138414,42.80695114409776,6.542702128639035,4.531398975495465,1
lightgbm__hver,0.2836754221193939,46.52163327628897,6.820676892822953,4.538125424588388,1
erc_xgb__softimpute,0.1226081013422266,36.66777509095043,6.055392232626259,4.62226884195335,1
sst_xgb__gtmcc,0.2911000516294821,44.352567593522096,6.659772337964872,4.643440002489434,1
sst_xgb__knn_based_method_matimputer,0.1616575343250397,51.160348564906144,7.152646263090755,4.6799559362844,1
sst_xgb__vae,0.2330699593888073,52.114581302175615,7.21904296303711,4.732044820401061,1
sst_xgb__堆叠,0.0552317744429949,49.1620985214269,7.011568905846031,4.753232293835815,1
xgboost__softimpute,-0.0002701535893743,39.05142967040607,6.249114310876867,4.771195254882979,1
hist_gbr__knn插补,-0.73446420776562,36.65400737263021,6.054255311153487,4.772375083749303,1
erc_xgb__mice_iterativeimputer,0.0702698594094236,50.2282705568897,7.08719059690719,4.840975848836146,1
sst_xgb__hh_vaem,0.1898390008666282,65.20567084432695,8.075002838657516,4.951298368028871,1
erc_xgb__堆叠,0.0608772736006684,58.55094154202393,7.651858698513971,4.979497602600304,1
sst_xgb__hyperimpute,-0.0268471707167808,47.11039913631591,6.863701562299742,4.996760906169461,1
xgboost__knn_based_method_matimputer,-0.1126097703024394,69.65230072464763,8.345795391971196,5.026882951542554,1
xgboost__knn插补,-0.7171086361162609,45.06357242302148,6.712940668814338,5.033290878925532,1
lightgbm__knn_based_method_matimputer,-0.0430116845824058,55.91439667361767,7.47759297325133,5.056852973401669,1
hist_gbr__softimpute,0.0646951960995131,50.25528554287455,7.089096243025238,5.084160387825194,1
erc_xgb__knn_based_method_matimputer,0.0156455015429259,62.206015061559015,7.887078994251231,5.118297460749687,1
sst_xgb__sinkhorn,0.1921017032883884,74.33666462746295,8.621871294995243,5.138516387994141,1
lightgbm__softimpute,-0.028956808419993,51.55788124288095,7.180381692005025,5.212700005351793,1
erc_xgb__gtmcc,0.2700299597273971,66.42369043279146,8.150073032359371,5.216103277467919,1
lightgbm__knn插补,-0.743099559139985,46.22155796130918,6.798643832508744,5.236082453927347,1
xgboost__mice_iterativeimputer,-0.3964266970884179,60.3839566239051,7.7707114618872,5.264942888031914,1
sst_xgb__softimpute,-0.0192241247886512,56.39348049946316,7.509559274648756,5.4532627333435135,1
sst_xgb__mice_iterativeimputer,-0.0272193706803584,70.09176062504326,8.37208221561657,5.562227610611333,1
xgboost__gtmcc,0.182522516514923,71.1187328324443,8.43319232749048,5.600467871914893,1
