model,r2,mse,rmse,mae,seed_count
hist_gbr__vae_miwae,0.3247137680347868,21.280379590834123,4.611370042890153,3.3262386866657634,10
lightgbm__vae_miwae,0.3299367054947769,23.552166799285164,4.852075873633983,3.42917178440081,10
xgboost__vae,0.34265835083007834,23.954710647606895,4.890388623634215,3.5857204389698487,10
erc_xgb__hyperimpute,0.10588800599706882,25.460605304103545,5.042748359013792,3.926817537172073,10
lightgbm__mice_iterativeimputer,0.03347557129896586,25.482363574348096,5.048005900783803,3.835538867354282,10
xgboost__hver,0.29749300319426986,26.158295922224276,5.1127940823016695,3.7845685915479192,10
xgboost__hh_vaem,0.3140962618304712,27.387047153527668,5.232434539303362,3.715278880486795,10
xgboost__vanilla,0.3033682865485068,27.641592842020422,5.2575161069757925,3.7963719074582807,10
hist_gbr__hyperimpute,-0.07134259152216496,27.77269735190536,5.269980773390484,4.169033901481208,10
xgboost__sinkhorn,0.32439326540742186,28.501408947512108,5.338671084409687,3.736460082574946,10
erc_xgb__vanilla,0.32978188301733147,28.71228881099568,5.353582603055633,3.8059863735692487,10
lightgbm__missforest,-0.0793928112870182,28.76779693115257,5.363561963019778,3.9104334753197953,10
xgboost__hmc_vae,0.34110628752001343,28.92062238278918,5.376163079121747,3.7587373001987165,10
hist_gbr__vanilla,0.3237065703709265,29.827075300676928,5.459964473740721,3.8794566746092825,10
xgboost__h_vae,0.321399777798297,30.16781956568537,5.4922928020234405,3.912557103474051,10
erc_xgb__h_vae,0.32056894343237585,30.432491553959657,5.507563682059256,3.8584997060968975,10
hist_gbr__rfe_missforest,0.2673160919880268,30.80074327325578,5.5498415972635335,4.082358515680264,10
erc_xgb__hmc_vae,0.32755351779593045,30.89375522931715,5.539919600540165,3.8637149127137542,10
erc_xgb__sinkhorn,0.3277034245947615,30.958263917640693,5.558804524825009,3.8443316994964554,10
xgboost__堆叠,0.07151895483193978,31.17837533800641,5.548688854240292,4.002419413626261,10
erc_xgb__hh_vaem,0.32171377522265676,31.219274446589814,5.573750145033947,3.890856560115305,10
erc_xgb__hver,0.3190855980165546,31.37416025445823,5.5769544237880115,3.9326593222319466,10
xgboost__vae_miwae,0.2500648823888784,31.957230091763126,5.6499270379173065,3.7384128449746337,10
hist_gbr__hh_vaem,0.3109197539690625,32.416965488950694,5.69356601272234,3.9574604677307654,10
hist_gbr__vae,0.30966324784850585,32.542730972611416,5.70454967748672,4.014706017203096,10
hist_gbr__hver,0.3149431695915068,32.861383469168985,5.731933434225678,3.991319285627121,10
xgboost__hyperimpute,-0.22379648099031385,32.90897486092314,5.736634454183317,4.442415436574565,10
hist_gbr__hmc_vae,0.29813715178961947,33.34516906051907,5.7741158538434725,3.9961934323254362,10
erc_xgb__vae_miwae,0.28315570550519814,33.37529382404757,5.766846229492618,3.8075232006403192,10
hist_gbr__h_vae,0.307873365789306,33.56439247983158,5.793447121328462,3.9951081089022025,10
erc_xgb__vae,0.31249067174708667,34.13260748966269,5.83620447805244,4.050639037552601,10
erc_xgb__missforest,0.0391134619485813,34.865805975130044,5.900699014231644,3.9724172435243483,10
hist_gbr__堆叠,0.10880230632810153,34.96005826474414,5.906291926864467,4.240869895804174,10
