model,r2_mean,r2_std,mse_mean,mse_std,mae_mean,mae_std,group
catboost,0.2817792093143095,0.0,25.951047357502397,0.0,3.5190854517979915,0.0,direct
mt_extra_trees,-19.521203742641763,0.0,290.73046097761124,0.0,13.623338894376795,0.0,direct
erc_xgb__gain,-2.592551209261886,0.01148954866498813,75.61327373950998,3.8886995041520147,6.897463922302238,0.14960825135235967,feature
erc_xgb__hyperimpute,0.1118563461243162,0.0610431842722165,24.805607180525122,2.934962281936402,3.862740940598413,0.19840118771737475,feature
erc_xgb__knn_based_method_matimputer,-0.3930999225119281,0.39794054256605044,53.50674936115941,17.788646329689723,5.074846885941289,0.9414655301380981,feature
erc_xgb__knn插补,-0.3744468688202661,0.36546364510945856,53.20174840888772,16.624872542875437,5.089577867175979,0.8552025299757889,feature
erc_xgb__mice_iterativeimputer,-0.7455893302355648,0.08922347629659354,60.33105206090018,1.3165500954951788,5.6403067382766725,0.06612485000363807,feature
erc_xgb__mida_去噪自编码器,-2.327404157346243,0.06909354277749465,91.1762905855221,9.882322366837982,7.297954197534763,0.32927692019321253,feature
erc_xgb__missforest,0.03864067737904004,0.022066661489932096,34.70112423183743,1.6811493398258146,3.9738685358906864,0.08266383918259436,feature
erc_xgb__miwae_变分自编码器,-1.6201308941383359,0.0334851356148477,55.49168221906152,5.75826991447989,5.96332071241464,0.3008220917448471,feature
erc_xgb__sinkhorn,0.3304616745147119,0.007952309137376528,29.698426671459877,3.035607644855012,3.767726122238109,0.16829297188319722,feature
erc_xgb__softimpute_低秩矩阵改良,-2.61523166758967,0.08713566429094803,92.50090104532953,25.431056529785003,7.663814600489294,0.6632549019083964,feature
erc_xgb__vae,0.30464651731939324,0.028505217776383256,33.35989966792367,1.9108317376705992,4.045806499282628,0.1707721561442686,feature
erc_xgb__低秩矩阵,-2.6269597029119263,0.10942366753153564,76.1098643028831,10.533868426755546,7.027369911834524,0.4429952405135423,feature
hist_gbr__gain,-2.4502155841499773,0.0,73.444018432351,0.0,6.709639686175732,0.0,feature
hist_gbr__hyperimpute,-0.0713425915221649,0.0,27.77269735190536,0.0,4.169033901481208,0.0,feature
hist_gbr__knn_based_method_matimputer,-0.33458950920189834,0.31880116065812436,33.327254319235315,6.471349393568005,4.345563860787626,0.5013604884210641,feature
hist_gbr__knn插补,-0.33458950920189834,0.31880116065812436,33.327254319235315,6.471349393568005,4.345563860787626,0.5013604884210641,feature
hist_gbr__mice_iterativeimputer,-0.9785174390433244,0.0,52.06512410257115,0.0,5.630410159111079,0.0,feature
hist_gbr__mida_去噪自编码器,-2.175812911241053,0.0,58.37956292032412,0.0,6.202553857867184,0.0,feature
hist_gbr__missforest,-0.0904365989348757,1.4522029090674701e-16,36.086910362835496,5.0242958677880805e-15,4.2879067536818,1.0877919644084146e-15,feature
hist_gbr__miwae_变分自编码器,-1.758435562837024,0.0,61.50960736533209,0.0,6.279766196505677,0.0,feature
hist_gbr__sinkhorn,0.269924718411164,0.0,39.6054996270648,0.0,4.2082751981864215,0.0,feature
hist_gbr__softimpute_低秩矩阵改良,-2.533169091535978,1.350673677942776e-12,68.64776928766312,1.4405995944466208e-11,6.696385458470521,8.628012216911393e-13,feature
hist_gbr__vae,0.3075221386035103,0.0,31.21870597070673,0.0,3.874265774550532,0.0,feature
hist_gbr__低秩矩阵,-2.533169091535978,1.350673677942776e-12,68.64776928766312,1.4405995944466208e-11,6.696385458470521,8.628012216911393e-13,feature
hmlasso__gain,-15.672844331334087,0.0,3690.276902605537,0.0,37.62016202277772,0.0,feature
hmlasso__hyperimpute,-17.57733007051112,0.0,3806.2431974338483,0.0,38.73420759089365,0.0,feature
hmlasso__knn_based_method_matimputer,-14.861258156426924,0.5506062749362328,3644.852180084998,10.951544164600078,36.75697797876794,0.47113417075813036,feature
hmlasso__knn插补,-14.861258156426924,0.5506062749362328,3644.852180084998,10.951544164600078,36.75697797876794,0.47113417075813036,feature
hmlasso__mice_iterativeimputer,-17.439387409838826,0.0,3765.3265748509643,0.0,38.492955013831626,0.0,feature
hmlasso__mida_去噪自编码器,-16.046624098675796,0.0,3755.7336394011377,0.0,37.94298223140544,0.0,feature
hmlasso__missforest,-15.431399904285731,2.5121479338940403e-15,3726.6640914549266,8.507543922801099e-13,37.63869831264095,6.153480596427404e-15,feature
hmlasso__miwae_变分自编码器,-15.584578864898855,0.0,3823.06032034713,0.0,37.70609974775749,0.0,feature
hmlasso__sinkhorn,-16.540557219476646,0.0,3736.955411712912,0.0,38.19780864199391,0.0,feature
hmlasso__softimpute_低秩矩阵改良,-15.32787284823363,1.9860273225978185e-15,3817.993582742421,5.084229945850415e-13,37.51715136595633,0.0,feature
hmlasso__vae,-16.568125584133906,0.0,3736.637075980224,0.0,38.21700000339809,0.0,feature
hmlasso__低秩矩阵,-15.32787284823363,1.9860273225978185e-15,3817.993582742421,5.084229945850415e-13,37.51715136595633,0.0,feature
lightgbm__gain,-2.446342642361041,0.0,73.57406317759101,0.0,6.642833691948999,0.0,feature
lightgbm__hyperimpute,-0.09792929925273,0.0,35.69667356258296,0.0,4.427897978974631,0.0,feature
lightgbm__knn_based_method_matimputer,-0.33846030264773436,0.3284712037105382,38.62040321364987,9.925226231112717,4.655330540229572,0.6746692071567317,feature
lightgbm__knn插补,-0.33846030264773436,0.3284712037105382,38.62040321364987,9.925226231112717,4.655330540229572,0.6746692071567317,feature
lightgbm__mice_iterativeimputer,-0.9004236502955882,0.0,37.95774781532181,0.0,4.891070696451152,0.0,feature
lightgbm__mida_去噪自编码器,-2.185150853708362,0.0,62.47590912474859,0.0,6.469828952978256,0.0,feature
lightgbm__missforest,-0.0793928112870182,0.0,28.76779693115257,0.0,3.9104334753197953,0.0,feature
lightgbm__miwae_变分自编码器,-1.775101638136206,0.0,70.08550347718575,0.0,6.512285267204696,0.0,feature
lightgbm__sinkhorn,0.2647161265974669,0.0,40.66891610441613,0.0,4.314834215965647,0.0,feature
lightgbm__softimpute_低秩矩阵改良,-2.6577019144102647,0.0,78.71158005486758,0.0,7.197089556484687,0.0,feature
lightgbm__vae,0.2883152325514366,0.0,41.84967048169377,0.0,4.311120499978934,0.0,feature
lightgbm__低秩矩阵,-2.6577019144102647,0.0,78.71158005486758,0.0,7.197089556484687,0.0,feature
sst_xgb__gain,-2.6898176346028704,0.09829176545566663,119.56745168369096,29.708843458214773,8.043942867404208,0.6779685684854987,feature
sst_xgb__hyperimpute,-0.006102495882260761,0.06496086968163031,49.51117425339688,14.189409607718117,5.022048402360189,0.45803396981386446,feature
sst_xgb__knn_based_method_matimputer,-0.4271432198935988,0.38920699371985046,54.776834019622335,21.00179597862687,5.232819458952573,1.0166566455956614,feature
sst_xgb__knn插补,-0.4271432198935988,0.38920699371985046,54.776834019622335,21.00179597862687,5.232819458952573,1.0166566455956614,feature
sst_xgb__mice_iterativeimputer,-0.9243523771616353,0.07758239497992662,64.06894129221563,7.942215144369679,5.753016227119723,0.2449942025985545,feature
sst_xgb__mida_去噪自编码器,-2.388855633059193,0.05682584606018507,87.31792924728425,15.928481640632528,7.294492250794635,0.45384779559754285,feature
sst_xgb__missforest,-0.08092927926838012,0.034637083535925324,75.19773929033661,7.771287143234048,5.421665308486425,0.21248098947228158,feature
sst_xgb__miwae_变分自编码器,-1.8708174721305721,0.19917593188337088,144.86441638399933,55.866055780393566,7.977890535224645,1.009666468403542,feature
sst_xgb__sinkhorn,0.16897678352113413,0.04974534304774572,80.65312743721809,13.767973644807617,5.395689232802917,0.45076713134442603,feature
sst_xgb__softimpute_低秩矩阵改良,-2.6161628979784837,0.0701327492144759,96.21669691868195,15.81881722440313,7.442677693840428,0.5118687968376491,feature
sst_xgb__vae,0.2976158157284791,0.0464437631262623,38.14974709352016,7.487290240492818,4.127491883856691,0.33575669700621674,feature
sst_xgb__低秩矩阵,-2.6161628979784837,0.0701327492144759,96.21669691868195,15.81881722440313,7.442677693840428,0.5118687968376491,feature
xgboost__gain,-2.63296770719782,0.0,72.4664300301263,0.0,6.756775845391329,0.0,feature
xgboost__hyperimpute,-0.22379648504806776,0.0,32.908976269926065,0.0,4.442415475064076,0.0,feature
xgboost__knn_based_method_matimputer,-0.371469659847649,0.4005629667966193,50.87381839964836,14.94615394657209,4.780106396430201,0.6735047920527285,feature
xgboost__knn插补,-0.371469659847649,0.4005629667966193,50.87381839964836,14.94615394657209,4.780106396430201,0.6735047920527285,feature
xgboost__mice_iterativeimputer,-0.7338589737929417,0.0,52.96072111273931,0.0,5.477187799563336,0.0,feature
xgboost__mida_去噪自编码器,-2.300505691448477,0.0,110.87620521124131,0.0,7.78350000740083,0.0,feature
xgboost__missforest,-0.2506469077350089,0.0,70.82264097980419,0.0,5.356923768259266,0.0,feature
xgboost__miwae_变分自编码器,-1.7560260494293263,0.0,52.28244997602313,0.0,5.939340265139627,0.0,feature
xgboost__sinkhorn,0.32439327029541,0.0,28.50140837004928,0.0,3.736460083229919,0.0,feature
xgboost__softimpute_低秩矩阵改良,-2.5319648916723194,0.0,69.49822541340659,0.0,6.718248326207704,0.0,feature
xgboost__vae,0.2906652927841486,0.0,27.850676737689344,0.0,3.8033747222965606,0.0,feature
xgboost__低秩矩阵,-2.5319648916723194,0.0,69.49822541340659,0.0,6.718248326207704,0.0,feature
gbdt__gain,-2.621845854627628,0.0,79.12780158602821,0.0,6.8296145581807695,0.0,complete
gbdt__hyperimpute,-0.0450057351492857,0.0,38.92338585225858,0.0,4.703169628206194,0.0,complete
gbdt__knn_based_method_matimputer,-0.3535688247909217,0.2798925694039456,53.75002157758672,5.277884359276639,5.195885843604304,0.15526799609403655,complete
gbdt__knn插补,-0.3535688247909217,0.2798925694039456,53.75002157758672,5.277884359276639,5.195885843604304,0.15526799609403655,complete
gbdt__mice_iterativeimputer,-0.6932156523523365,0.0,46.98041752483356,0.0,5.199231457804503,0.0,complete
gbdt__mida_去噪自编码器,-3.322845111442065,0.0,106.39312812891994,0.0,7.702592358925744,0.0,complete
gbdt__missforest,-0.04290362398406622,0.0027795041765678635,42.09421357799744,0.0600256500082521,4.500864538744329,0.007845474083784106,complete
gbdt__miwae_变分自编码器,-1.9195438314177575,0.0,104.23890192931438,0.0,7.564795411622841,0.0,complete
gbdt__sinkhorn,0.2792556623345985,0.0,39.71313766892818,0.0,4.371175805511333,0.0,complete
gbdt__softimpute_低秩矩阵改良,-2.8031102374331978,0.010622633822114905,126.17216154582597,0.46553015123152186,8.609313824259,0.01686895607946643,complete
gbdt__vae,0.3088649814900707,0.0,41.50347413683643,0.0,4.3822812882802005,0.0,complete
gbdt__低秩矩阵,-2.8031102374331978,0.010622633822114905,126.17216154582597,0.46553015123152186,8.609313824259,0.01686895607946643,complete
multioutput_gp__gain,-0.7272088784428374,0.0,163.38791226359518,0.0,7.967168256518432,0.0,complete
multioutput_gp__hyperimpute,-0.23130347621390487,0.0,104.16944100890859,0.0,6.587623062904884,0.0,complete
multioutput_gp__knn_based_method_matimputer,-0.189919413711792,0.038696520414806486,100.07126001876696,0.5526314218211068,6.311221228438066,0.06783397152385515,complete
multioutput_gp__knn插补,-0.189919413711792,0.038696520414806486,100.07126001876696,0.5526314218211068,6.311221228438066,0.06783397152385515,complete
multioutput_gp__mice_iterativeimputer,-0.2659102931801562,0.0,106.25964502436337,0.0,6.600909542382965,0.0,complete
multioutput_gp__mida_去噪自编码器,-2.9521609132657605,0.0,169.09177004582446,0.0,9.299987097610046,0.0,complete
multioutput_gp__missforest,-0.0103116248773241,0.0,98.74071653351511,2.2469334198890888e-14,5.894942234193211,0.0,complete
multioutput_gp__miwae_变分自编码器,-3.3734953144777164,0.0,419.97659724769466,0.0,13.90886929963481,0.0,complete
multioutput_gp__sinkhorn,-0.031961455887864,0.0,97.65385191403077,0.0,5.887081767655316,0.0,complete
multioutput_gp__softimpute_低秩矩阵改良,-4.433975678283477,9.930136612989092e-16,440.9907382731385,0.0,14.872563253573551,1.9860273225978185e-15,complete
multioutput_gp__vae,-0.0287484510655154,0.0,97.58801557522732,0.0,5.863712775417061,0.0,complete
multioutput_gp__低秩矩阵,-4.433975678283477,9.930136612989092e-16,440.9907382731385,0.0,14.872563253573551,1.9860273225978185e-15,complete
multioutput_svr__gain,-2.708060205720779,0.0,153.8611377853342,0.0,8.76982882991718,0.0,complete
multioutput_svr__hyperimpute,-0.43551310458742265,0.0,68.33670162751972,0.0,5.475818552478306,0.0,complete
multioutput_svr__knn_based_method_matimputer,-0.4257253675715882,0.28148177469860836,72.11098317966693,2.8539111913891118,5.283264485472295,0.3787116070424752,complete
multioutput_svr__knn插补,-0.4257253675715882,0.28148177469860836,72.11098317966693,2.8539111913891118,5.283264485472295,0.3787116070424752,complete
multioutput_svr__mice_iterativeimputer,-0.5311916957766032,0.0,96.08442992231024,0.0,6.218872728724089,0.0,complete
multioutput_svr__mida_去噪自编码器,-4.049484468850199,0.0,187.37479127753343,0.0,10.354949086262131,0.0,complete
multioutput_svr__missforest,-0.21904836720747034,1.431499321547543e-05,79.58347846817774,0.00015009208959191144,5.149530293922321,2.211215142152139e-05,complete
multioutput_svr__miwae_变分自编码器,-2.7700714019122405,0.0,271.26563396542883,0.0,11.599115757350985,0.0,complete
multioutput_svr__sinkhorn,0.0960487595231165,0.0,71.71792927447073,0.0,4.8224574902288575,0.0,complete
multioutput_svr__softimpute_低秩矩阵改良,-3.6572222424793033,5.2145069362564144e-05,263.4003649417185,0.0006113794003184489,12.054026791357238,2.8285615794506046e-05,complete
multioutput_svr__vae,0.1013686915984274,0.0,72.98635577392326,0.0,4.751921173189426,0.0,complete
multioutput_svr__低秩矩阵,-3.6572222424793033,5.2145069362564144e-05,263.4003649417185,0.0006113794003184489,12.054026791357238,2.8285615794506046e-05,complete
multitask_elasticnet__gain,-2.179550720684259,0.0,205.36841692287967,0.0,9.5143620620511,0.0,complete
multitask_elasticnet__hyperimpute,-0.17280969590163,0.0,97.98943523470818,0.0,5.999485147777955,0.0,complete
multitask_elasticnet__knn_based_method_matimputer,-0.2992345864343039,0.2866617129303776,107.75913772129138,6.982334143735974,6.06909198698154,0.3757333031891179,complete
multitask_elasticnet__knn插补,-0.2992345864343039,0.2866617129303776,107.75913772129138,6.982334143735974,6.06909198698154,0.3757333031891179,complete
multitask_elasticnet__mice_iterativeimputer,-0.3931929997642701,0.0,145.68505229594783,0.0,6.984339127431676,0.0,complete
multitask_elasticnet__mida_去噪自编码器,-4.539730396802279,0.0,336.01498573410896,0.0,12.686167896017334,0.0,complete
multitask_elasticnet__missforest,-0.23023767365809844,3.01183167492207e-16,105.3851732112249,6.194367960490402e-14,5.849829502590602,1.88411095042053e-15,complete
multitask_elasticnet__miwae_变分自编码器,-3.6876762308645814,0.0,703.8576113311558,0.0,16.81552920074433,0.0,complete
multitask_elasticnet__sinkhorn,-0.0092151127527487,0.0,103.18769072909895,0.0,5.590354689180848,0.0,complete
multitask_elasticnet__softimpute_低秩矩阵改良,-4.106589973919219,1.3322676295501878e-15,566.3442571918774,3.8553082408300657e-13,16.038237068970478,4.351167857633658e-15,complete
multitask_elasticnet__vae,-0.008201914751791,0.0,105.08998113767692,0.0,5.588227973905552,0.0,complete
multitask_elasticnet__低秩矩阵,-4.106589973919219,1.3322676295501878e-15,566.3442571918774,3.8553082408300657e-13,16.038237068970478,4.351167857633658e-15,complete
multitask_gp__gain,-2.5817753534822625,0.0,184.5496208611307,0.0,9.31676738958247,0.0,complete
multitask_gp__hyperimpute,-0.2375965662758071,0.0,82.1056419495343,0.0,5.525094099035073,0.0,complete
multitask_gp__knn_based_method_matimputer,-0.44059075235152506,0.2247654153345093,89.08875240909876,1.812647332693287,5.511212745670041,0.2583767709824378,complete
multitask_gp__knn插补,-0.4396474726643385,0.22471699318284655,88.95753419277311,1.6728002875946268,5.507960518820221,0.25123465763246383,complete
multitask_gp__mice_iterativeimputer,-0.6049414517029916,0.0,135.23563279130133,0.0,7.235232914774994,0.0,complete
multitask_gp__mida_去噪自编码器,-3.842443871167866,0.0,242.3846815259216,0.0,11.272706757156731,0.0,complete
multitask_gp__missforest,-0.1485512229295317,0.0,89.107209887506,0.0,5.040931022312463,0.0,complete
multitask_gp__miwae_变分自编码器,-2.690121821822655,0.0,336.247193164211,0.0,12.370222273103568,0.0,complete
multitask_gp__sinkhorn,0.0267199826621691,0.0,88.39488039465655,0.0,5.0919165574824845,0.0,complete
multitask_gp__softimpute_低秩矩阵改良,-3.779623428952516,0.0,382.3567770549032,0.0,13.567342271400094,0.0,complete
multitask_gp__vae,0.0759937023665247,0.0,90.16530044238972,0.0,5.108590194223311,0.0,complete
multitask_gp__低秩矩阵,-3.7616332425025076,0.0,376.0273780028127,0.0,13.460193561475162,0.0,complete
multitask_lasso__gain,-2.184479518049609,0.0,206.9476194964961,0.0,9.523163490896366,0.0,complete
multitask_lasso__hyperimpute,-0.18409596158396,0.0,99.44212550453054,0.0,6.043261519548871,0.0,complete
multitask_lasso__knn_based_method_matimputer,-0.3009128747377036,0.2868315796237041,109.27788942720167,7.261715065398461,6.097723465741397,0.3810673665844406,complete
multitask_lasso__knn插补,-0.3009128747377036,0.2868315796237041,109.27788942720167,7.261715065398461,6.097723465741397,0.3810673665844406,complete
multitask_lasso__mice_iterativeimputer,-0.3976591679854068,0.0,146.12114037217626,0.0,6.987293504988807,0.0,complete
multitask_lasso__mida_去噪自编码器,-4.533671395133599,0.0,335.68867682075427,0.0,12.67384266018106,0.0,complete
multitask_lasso__missforest,-0.2363235561416662,4.66301930857378e-16,106.8932019539961,7.140866117879973e-14,5.881168319113642,2.5510982866352577e-15,complete
multitask_lasso__miwae_变分自编码器,-3.689358426931115,0.0,705.1595812251511,0.0,16.829197488369033,0.0,complete
multitask_lasso__sinkhorn,-0.012978820358861002,0.0,104.44553752790848,0.0,5.6118043160051805,0.0,complete
multitask_lasso__softimpute_低秩矩阵改良,-4.105744286136934,1.7763568394002505e-15,566.6951159053305,8.469478658384639e-13,16.041877838434793,1.2434497875801753e-14,complete
