model,r2_mean,r2_std,mse_mean,mse_std,mae_mean,mae_std,group
random_forest__vae,0.3273486895583858,0.004173585853671785,36.299001642083994,1.1095719702408484,4.047212134254882,0.05028212691945301,complete
gbdt__vae,0.3088649814900707,0.0,41.50347413683643,0.0,4.3822812882802005,0.0,complete
random_forest__sinkhorn,0.30598834708466216,0.006138764982211669,37.727557030688786,1.7955507503133754,4.109006424972554,0.0530527001406503,complete
gbdt__sinkhorn,0.2792556623345985,0.0,39.71313766892818,0.0,4.371175805511333,0.0,complete
random_forest__hyperimpute,0.27036438635136284,0.005282975258472571,31.246627517299906,0.718344023905655,3.886041796307353,0.02898674200658911,complete
random_forest__missforest,0.15005533326687812,0.00866403180634404,31.09718972018943,1.0889358487663687,3.850730653169429,0.03737857460359626,complete
multioutput_svr__vae,0.1013686915984274,0.0,72.98635577392326,0.0,4.751921173189426,0.0,complete
multioutput_svr__sinkhorn,0.0960487595231165,0.0,71.71792927447073,0.0,4.8224574902288575,0.0,complete
multitask_gp__vae,0.0759937023665247,0.0,90.16530044238972,0.0,5.108590194223311,0.0,complete
multitask_gp__sinkhorn,0.0267199826621691,0.0,88.39488039465655,0.0,5.0919165574824845,0.0,complete
