model,r2_mean,r2_std,mse_mean,mse_std,mae_mean,mae_std,group
erc_xgb__sinkhorn,0.3304616745147119,0.007952309137376528,29.698426671459877,3.035607644855012,3.767726122238109,0.16829297188319722,feature
random_forest__vae,0.3273486895583858,0.004173585853671785,36.299001642083994,1.1095719702408484,4.047212134254882,0.05028212691945301,complete
xgboost__sinkhorn,0.32439327029541,0.0,28.50140837004928,0.0,3.736460083229919,0.0,feature
gbdt__vae,0.3088649814900707,0.0,41.50347413683643,0.0,4.3822812882802005,0.0,complete
hist_gbr__vae,0.3075221386035103,0.0,31.21870597070673,0.0,3.874265774550532,0.0,feature
random_forest__sinkhorn,0.30598834708466216,0.006138764982211669,37.727557030688786,1.7955507503133754,4.109006424972554,0.0530527001406503,complete
erc_xgb__vae,0.30464651731939324,0.028505217776383256,33.35989966792367,1.9108317376705992,4.045806499282628,0.1707721561442686,feature
sst_xgb__vae,0.2976158157284791,0.0464437631262623,38.14974709352016,7.487290240492818,4.127491883856691,0.33575669700621674,feature
xgboost__vae,0.2906652927841486,0.0,27.850676737689344,0.0,3.8033747222965606,0.0,feature
lightgbm__vae,0.2883152325514366,0.0,41.84967048169377,0.0,4.311120499978934,0.0,feature
