slab_id,b,h,d,E,nu,rho,sdl,ll,llred,mesh,angle,sx1,sy1,sx2,sy2,sx3,sy3,sx4,sy4,dl_load,sdl_load,ll_load,llred_load,dl_reaction,sdl_reaction,ll_reaction,llred_reaction
slab_000,4157,10343,200,35859,0.2,2571,-0.51,-4.66,-2.7,1000,0,831,2068,3325,2068,831,8274,3325,8274,-216.872,-21.92,-200.38,-116.072,216.873,21.92,200.38,116.072
slab_001,6105,11542,220,33115,0.21,2540,-0.38,-1.67,-0.87,500,0,1221,2308,4884,2308,1221,9233,4884,9233,-386.248,-26.96,-117.664,-61.296,386.248,26.96,117.664,61.296
slab_002,7359,9020,250,29257,0.18,2531,-0.42,-4.55,-2.35,1000,45,1471,1804,5887,1804,1471,7216,5887,7216,-412.0,-28.0,-302.0,-156.0,412.0,28.0,302.0,156.0
slab_003,6355,9489,250,28520,0.18,2415,-0.87,-4.79,-2.15,750,0,1271,1897,5084,1897,1271,7591,5084,7591,-357.16,-52.24,-288.84,-129.6,357.16,52.24,288.84,129.6
slab_004,6139,13107,180,35009,0.21,2567,-0.35,-2.62,-1.12,1000,45,1227,2621,4911,2621,1227,10485,4911,10485,-364.712,-28.128,-210.752,-90.016,364.712,28.128,210.752,90.016
slab_005,7223,13301,220,30704,0.2,2579,-0.69,-4.56,-1.93,750,0,1444,2660,5778,2660,1444,10640,5778,10640,-534.696,-66.16,-438.128,-185.56,534.696,66.16,438.128,185.56
slab_006,7589,12844,220,31015,0.21,2572,-0.58,-1.61,-0.91,500,45,1517,2568,6071,2568,1517,10275,6071,10275,-540.696,-56.688,-156.596,-88.832,540.696,56.689,156.596,88.832
slab_007,6027,15367,220,33858,0.2,2521,-0.32,-2.89,-1.23,500,90,1205,3073,4821,3073,1205,12293,4821,12293,-503.624,-30.112,-267.272,-113.568,503.624,30.112,267.271,113.568
slab_008,4353,15155,200,32702,0.21,2427,-0.52,-3.51,-2.02,500,0,870,3031,3482,3031,870,12124,3482,12124,-313.92,-34.408,-231.48,-133.0,313.92,34.408,231.48,133.0
slab_009,4433,15401,180,29032,0.21,2597,-0.37,-1.9,-0.95,1000,90,886,3080,3546,3080,886,12320,3546,12320,-313.092,-25.28,-129.656,-64.88,313.092,25.28,129.656,64.88
slab_010,6040,10121,250,34911,0.19,2498,-0.94,-4.88,-3.0,1000,45,1208,2024,4832,2024,1208,8096,4832,8096,-374.496,-57.536,-298.304,-183.392,374.496,57.536,298.304,183.392
slab_011,4794,13611,250,30132,0.2,2504,-0.36,-3.85,-1.94,500,90,958,2722,3835,2722,958,10888,3835,10888,-400.872,-23.88,-251.144,-126.904,400.872,23.88,251.144,126.904
