d,b,dia_top,area_top,n_top,c_top,dia_bot,area_bot,n_bot,c_bot,dia_side,area_side,n_side,c_side,n_circle,elastic_modulus_concrete,poisson_ratio_concrete,yield_strength_concrete,density_concrete,elastic_modulus_steel,poisson_ratio_steel,yield_strength_steel,density_steel,A_total,A_concrete,A_reinf_meshed,A_reinf_lumped,cx,cy,Ixx,Iyy,Ixy,Zxx_plus,Zxx_minus,Zyy_plus,Zyy_minus,M_cr,d_nc,I_cracked,cx_cracked,cy_cracked,is_cracked,M_ult,Mx_ult,My_ult,N_ult,d_n_ult,k_u,EI_initial,M_yield,kappa_yield,M_u_curve,kappa_u,row_id
100.0,100.0,13.666666666666668,122.22222222222224,2.0,20.0,11.555555555555555,100.0,4.0,20.0,,,,,4.0,27500.0,0.175,75.0,2.5e-06,195000.0,0.32,600.0,7.9e-06,10000.0,9355.555540506048,0,644.4444594939531,50.0,48.23905871046843,290188003790.35486,273904380927.11743,-0.000244140625,5606312338.238797,6015623263.548066,5478087618.542349,5478087618.542349,625161.9078995133,39.69470089095217,158109925578.56775,50.0,60.305299127476374,1,12826174.529259581,12826174.529259581,-9.313225746154785e-10,-9.163958528661169,37.61025154537437,0.5067249474877533,,,,,,0
500.0,900.0,20.0,277.77777777777777,2.0,50.0,5.222222222222222,21.419068431419294,6.0,30.0,10.5,86.59014751456867,5.0,20.0,28.0,20000.0,0.225,75.0,2.15e-06,205000.0,0.28,500.0,7.8e-06,450000.0,448450.02856811136,0,1549.9714318885601,449.9999999999992,251.3099944428659,193828383275373.12,656560664997446.8,0.25,779397558985.7106,771272084522.8424,1459023699994.3235,1459023699994.3286,110210301.04038247,69.82384087522435,14528615935866.875,449.9999999999995,430.17617694895677,1,155324448.8134677,155324448.8134677,2.5704503059387207e-07,22.258270720405562,16.085627865912176,0.03441593980696943,193824597841148.25,38764919.53173292,2e-07,43087742684.866974,0.00023009266356205927,1
1000.0,300.0,3.111111111111111,7.601878519797524,10.0,40.0,3.111111111111111,7.601878519797524,6.0,40.0,20.0,100.0,5.0,40.0,4.0,35000.0,0.2,75.0,2.5e-06,190000.0,0.28,500.0,7.9e-06,300000.0,298878.3699406418,0,1121.6300593586132,150.00000000000014,500.20243148498247,886202315376484.0,80396485216882.19,-2.375,1773122502395.3994,1771687340154.5837,535976568112.5484,535976568112.5474,144665045.8757886,121.98649772749589,48518275290099.5,150.0,878.0134930817495,1,264413572.6697813,264413572.6697813,-5.4016709327697754e-08,-9.10181179648498,33.22871633321296,0.03466942349102551,886200789446125.2,221550197.3539685,2.5e-07,95268192489.5749,0.00010905657396063207,2
1000.0,200.0,15.77777777777778,166.66666666666666,9.0,40.0,5.222222222222222,21.419068431419294,6.0,40.0,,,,,8.0,50000.0,0.2,120.0,1.975e-06,205000.0,0.32,450.0,7.8e-06,200000.0000001184,198423.6788408158,0,1576.3211593026342,99.99999999817096,509.01447067668374,882541425924022.5,33623121379265.797,-8302.1875,1797489688016.5786,1733823843457.2834,336231213786.5082,336231213798.80774,125354384.73384553,63.370488826762895,21962021526212.75,99.99999997881469,936.6295111838881,1,70784288.01163766,70784288.01163766,0.03008365072309971,30.083505493194025,31.194403556048677,0.03258279255442077,882537581858061.9,176507516.0945706,2e-07,90127853538.61769,0.00010990683881086432,3
500.0,300.0,17.88888888888889,300.0,8.0,20.0,13.666666666666668,188.88888888888889,1.0,10.0,10.5,86.59014751456867,3.0,10.0,4.0,35000.0,0.2,75.0,2.15e-06,195000.0,0.31,550.0,7.8e-06,150000.0,146891.5703132365,0,3108.4296867635603,149.99999999999994,263.4557937367596,129469591632597.12,43721070616275.14,-0.125,547337826099.6834,491428143584.3498,291473804108.50085,291473804108.50104,40126987.0394178,63.942282866458775,12479154852844.594,149.99999999999991,436.0576204683587,1,119294776.89716385,119294776.89716385,4.563480615615845e-08,25.76406704960391,28.330597570101485,0.058635248466139496,129457167984225.47,0.0,0.0,23008711899.309315,0.0002165031088822407,4
1000.0,300.0,13.666666666666668,277.77777777777777,10.0,20.0,15.77777777777778,277.77777777777777,5.0,50.0,,,,,4.0,20000.0,0.2,90.0,2.325e-06,210000.0,0.29,500.0,7.850000000000001e-06,300000.0,295833.33334731666,0,4166.666652683063,149.99999999999994,519.5914564592961,667153333686684.5,49398757778909.84,0.6875,1388720793284.889,1283995965278.0554,329325051859.3988,329325051859.3991,200987411.95888388,202.4941927700011,192461003910320.0,150.00000000000003,797.505803194438,1,642999637.9743645,642999637.9743645,1.6205012798309326e-07,-24.43736430356512,30.53132103752164,0.032407346310897756,667133990609670.6,166783497.8520056,2.5e-07,51774935220.93873,0.00010539179147692203,5
200.0,400.0,9.444444444444445,122.22222222222224,6.0,20.0,17.88888888888889,144.44444444444446,2.0,40.0,,,,,20.0,20000.0,0.25,60.0,1.8e-06,190000.0,0.3,550.0,7.75e-06,80000.0,78977.77776706114,0,1022.2222329388624,200.00000000000006,103.87716794331243,6142916677994.617,24243072048805.25,-0.015625,63906946420.095985,59136351131.048485,121215360244.02629,121215360244.02621,7558125.401838822,35.40951104799277,868560776286.5566,200.0000000000001,164.59048743209095,1,25248305.740045957,25248305.740045957,-2.2351741790771484e-08,24.610890567550086,18.136629362223452,0.12006595389354993,6140930650215.789,3377511.812916666,5.5e-07,3502603979.8153534,0.0006617595191908228,6
600.0,700.0,1.0,0.7853981633974483,6.0,50.0,15.77777777777778,144.44444444444446,9.0,50.0,,,,,4.0,20000.0,0.175,75.0,2.325e-06,190000.0,0.28,400.0,7.7e-06,420000.0,418695.2875849895,0,1304.7124150102625,350.0000000000002,293.8172221759076,264677343791711.12,350893430475698.0,0.5,864442297090.1815,900823109794.597,1002552658501.995,1002552658501.9937,128722390.07070626,121.75569455911422,52074632441627.0,349.99999999999994,478.24452949615596,1,278764064.33043563,278764064.33043563,7.450580596923828e-08,18.887865896103904,13.927296428218316,0.02569085219915058,264674505121354.0,52934900.8643507,2e-07,50408974440.07989,0.00020075541947644964,7
300.0,400.0,15.77777777777778,166.66666666666666,6.0,40.0,1.0,0.7853981633974483,5.0,10.0,15.25,300.0,1.0,40.0,8.0,42500.0,0.2,105.0,2.5e-06,195000.0,0.29,450.0,7.850000000000001e-06,120000.0,118396.07297886646,0,1603.9270211334806,199.9999999999999,152.5779036317632,39852386652518.14,71782921359463.94,0.40625,270328448952.27414,261193696491.59207,358914606797.31946,358914606797.3199,20781761.24584357,43.13103583685769,2355579405852.3906,200.00000000000006,256.8689854364312,1,59878196.221563734,59878196.221563734,-1.4901161193847656e-08,15.344057932583382,24.076462879922424,0.08316567488746951,39847007305174.086,11954102.13644081,3e-07,13661251115.691734,0.0003601390457690696,8
200.0,200.0,17.88888888888889,166.66666666666666,3.0,50.0,7.333333333333334,42.23696789826278,6.0,40.0,20.0,300.0,3.0,10.0,28.0,27500.0,0.15,105.0,1.8e-06,205000.0,0.29,550.0,7.8e-06,40000.0,37446.57821348196,0,2553.421786518027,99.99999999999993,99.14310872743008,4111731671597.1523,6265608588110.982,0.037109375,40767979457.99288,41472692599.35515,62656085881.10978,62656085881.10987,5099623.670368431,74.32147528341122,1688637929226.8984,99.99999999999994,125.67852478235717,1,84348026.26598339,84348026.26598339,-9.313225746154785e-09,18.84899477539875,60.0987629876168,0.38442705543802286,4101388369360.3545,1230416.5134700104,3e-07,3231515930.8232784,0.0008877691123891254,9
