ρcore (%) ,beam Long. RFT ratio %,e (mm),N (kN),hb (mm),bb (mm),hc (mm),bc (mm),fy (MPa),fc (MPa),joint shear strength (MPa)
1.437,2.2,76,196,381,203,356,356,441,29.0,8.51
0.794,2.2,140,289,457,254,356,534,441,39.0,7.88
0.794,2.2,140,234,457,254,356,534,441,29.0,7.56
1.261,2.2,0,231,457,305,534,356,441,39.0,4.88
1.989,2.2,0,169,305,762,534,356,441,29.0,3.38
0.955,1.1,0,0,500,300,500,500,399,19.9,3.63
0.955,1.1,100,0,500,300,500,500,399,19.9,3.77
0.753,1.2,0,245,419,279,362,362,352,34.3,6.17
1.113,1.2,0,245,419,279,362,362,352,33.6,6.83
0.753,1.2,0,214,419,279,362,362,352,31.0,6.09
1.302,1.3,0,294,508,311,356,356,446,55.1,7.26
1.952,1.3,0,294,508,311,356,356,446,55.1,7.07
1.296,1.3,0,507,508,311,356,356,446,55.1,8.32
1.945,1.3,0,507,508,311,356,356,446,55.1,8.31
1.302,1.3,0,285,508,311,356,356,446,75.8,6.49
1.952,1.3,0,276,508,311,356,356,446,75.8,7.88
1.296,1.3,0,587,508,311,356,356,446,75.8,8.16
1.945,1.3,0,605,508,311,356,356,446,75.8,8.61
1.302,1.3,0,236,508,311,356,356,446,96.5,7.4
1.952,1.3,0,222,508,311,356,356,446,96.5,7.51
1.945,1.3,0,476,508,311,356,356,446,96.5,8.71
0.687,0.9,0,178,480,259,300,300,437,33.6,7.33
0.759,0.9,0,222,439,259,300,300,437,34.9,7.48
1.03,0.9,0,222,480,259,300,300,437,40.9,7.29
1.114,0.9,0,222,439,259,300,300,437,44.6,7.44
0.594,0.9,0,356,480,300,340,340,437,24.3,6.62
0.594,0.9,0,303,480,300,340,340,437,39.8,4.9
0.4,1.01,0,147,250,160,220,220,297,40.2,9.86
0.4,1.01,0,147,250,160,220,220,297,40.2,9.08
0.4,1.01,0,441,250,160,220,220,297,40.2,9.86
1.066,1.01,0,441,250,160,220,220,297,40.2,10.07
0.4,1.01,0,98,250,160,220,220,297,30.0,5.89
0.4,1.01,0,98,250,160,220,220,297,30.0,5.12
0.4,1.01,0,343,250,160,220,220,297,30.0,6.52
1.066,1.01,0,343,250,160,220,220,297,30.0,6.88
0.541,0.8,0,89,305,864,356,356,441,27.6,4.36
0.541,0.8,0,89,305,762,356,356,441,27.6,4.49
0.541,0.9,0,89,305,864,356,356,441,27.6,4.95
0.541,0.9,0,89,305,864,356,356,441,27.6,5.6
0.593,0.97,0,0,508,406,508,508,549,27.6,10.58
0.791,0.97,0,0,508,406,508,508,549,31.6,9.73
1.753,0.97,0,0,508,406,508,508,511,77.9,18.19
1.753,0.97,0,0,508,406,508,508,511,92.1,16.58
0.496,0.97,0,258,220,160,220,220,250,31.1,6.2
