D(mm),t(mm),Fy(MPa),fc(MPa),et(mm),L(mm),Pexp(kN)
94.996,12.496799999999999,274.6182908,20.2705944,0.0,1420.1139999999998,947.0260380000001
94.996,12.7508,272.6188104,20.2705944,0.0,1420.1139999999998,937.684776
94.996,12.395199999999999,272.6188104,20.2705944,0.0,1420.1139999999998,906.992058
94.996,12.5984,274.6182908,20.2705944,0.0,860.044,1017.752736
94.996,12.7,272.6188104,20.2705944,0.0,860.044,1007.966652
94.996,12.7,272.6188104,20.2705944,0.0,860.044,1033.766328
94.996,12.801599999999999,278.4793564,20.2705944,0.0,1979.93,886.530246
94.996,12.496799999999999,275.5835572,20.2705944,0.0,1979.93,906.992058
94.996,12.5984,279.5135704,20.2705944,0.0,1979.93,916.778142
94.996,3.6575999999999995,326.5358336,24.9590312,0.0,860.044,656.11245
94.996,3.6829999999999994,386.3823504,24.9590312,0.0,860.044,686.360346
94.996,3.4036,335.3611264,24.9590312,0.0,860.044,656.11245
94.996,3.8608,326.5358336,24.9590312,0.0,1420.1139999999998,566.7032280000001
94.996,3.9115999999999995,386.3823504,24.9590312,0.0,1420.1139999999998,605.8475639999999
94.996,3.5813999999999995,335.3611264,24.9590312,0.0,1420.1139999999998,575.5996680000001
94.996,3.7591999999999994,326.5358336,24.9590312,0.0,1979.93,536.455332
94.996,3.7845999999999997,386.3823504,24.9590312,0.0,1979.93,565.813584
94.996,3.5052000000000003,335.3611264,24.9590312,0.0,1979.93,487.524912
216.00159999999997,4.064,284.40885,24.9590312,0.0,2219.96,1023.0906
216.00159999999997,4.1148,299.0946888,22.8906032,0.0,2219.96,1834.4459279999999
216.00159999999997,4.0386,288.3388632,29.7853632,0.0,2219.96,2289.054012
216.00159999999997,4.1148,286.3393828,29.7853632,0.0,2219.96,2238.789126
216.00159999999997,6.0451999999999995,389.3470972,22.8906032,0.0,2219.96,2461.644948
216.00159999999997,5.968999999999999,393.27711039999997,22.8906032,0.0,2219.96,2421.166146
216.00159999999997,6.5024,295.1646756,29.7853632,0.0,2219.96,2803.713066
216.00159999999997,6.2992,404.99820239999997,29.7853632,0.0,2219.96,2932.2666240000003
94.996,3.8608,332.3963796,24.0627124,0.0,1979.93,498.20064
94.996,3.4036,337.36060679999997,24.0627124,0.0,1979.93,472.845786
94.996,3.5813999999999995,355.01119239999997,24.0627124,0.0,1979.93,472.845786
94.996,3.7337999999999996,326.5358336,24.0627124,0.0,1979.93,412.83929820000003
121.0056,3.6575999999999995,295.1646756,21.0979656,0.0,1050.036,695.256786
121.0056,3.7337999999999996,327.5700476,21.0979656,0.0,1050.036,746.411316
121.0056,3.7591999999999994,307.91998159999997,24.200607599999998,0.0,1050.036,836.710182
121.0056,3.9878,326.5358336,24.200607599999998,0.0,1050.036,866.958078
121.0056,5.6133999999999995,344.1864192,21.0979656,0.0,1050.036,998.180568
121.0056,5.4102,343.22115279999997,21.0979656,0.0,1050.036,1017.752736
121.0056,5.460999999999999,330.4658468,24.200607599999998,0.0,1050.036,1099.155162
121.0056,5.5626,321.640554,24.200607599999998,0.0,1050.036,1078.69335
121.0056,3.7083999999999997,295.1646756,21.0979656,0.0,2310.13,640.54368
121.0056,3.7591999999999994,327.5700476,21.0979656,0.0,2310.13,629.42313
121.0056,3.7083999999999997,307.91998159999997,24.200607599999998,0.0,2310.13,695.256786
121.0056,3.8608,326.5358336,24.200607599999998,0.0,2310.13,755.307756
121.0056,5.6895999999999995,344.1864192,21.0979656,0.0,2310.13,786.4452960000001
121.0056,5.4864,343.22115279999997,21.0979656,0.0,2310.13,815.8035480000001
121.0056,5.6388,330.4658468,24.200607599999998,0.0,2310.13,873.630408
121.0056,5.4356,321.640554,24.200607599999998,0.0,2310.13,865.17879
25.4,0.889,524.00176,23.649026799999998,0.0,1524.0,17.2146114
25.4,0.889,524.00176,23.649026799999998,0.0,1524.0,14.8570548
25.4,0.889,524.00176,23.649026799999998,0.0,1524.0,14.412232800000002
25.4,0.889,524.00176,27.8203566,0.0,1524.0,15.7466988
25.4,0.889,524.00176,27.8203566,0.0,1524.0,15.524287800000002
38.099999999999994,2.7685999999999997,524.00176,17.926375999999998,0.0,1524.0,107.646924
38.099999999999994,2.7685999999999997,524.00176,17.926375999999998,0.0,1524.0,120.991584
38.099999999999994,2.7685999999999997,524.00176,17.926375999999998,0.0,1524.0,106.75728000000001
