Literature,Specimen ID,Country,Specimen Type,Specimen Age (days),Rebar Present,UPV Device Brand & Model,Transducer Diameter (mm),Transducer Frequency (kHz),UPV Standard,Test Type,No. Tests,"Average Velocity, Vp (m/s)",RH Device Brand & Model,RH Standard,Orientation,No. Tests,"Median Rebound Number, RN",Core Specimen ,Height (mm),Width/Diameter (mm),Max Aggregate Size (mm),W/C Ratio,Strength Class,"Design Strength, fck (MPa)","fc,core (MPa)","fc,ref (MPa)","fc,cyl (MPa)",Notes
Cianfrone & Facaoaru (1979),C1_25a,Italy,Cube - Laboratory,1,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4440,PROCEQ Original Schmidt Type N,,Horizontal,18,20.0,Cube,150.0,150.0,30,,,,16.08,16.08,13.35,
Cianfrone & Facaoaru (1979),C2_25b,Italy,Cube - Laboratory,2,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4820,PROCEQ Original Schmidt Type N,,Horizontal,18,25.0,Cube,150.0,150.0,30,,,,27.95,27.95,23.20,
Cianfrone & Facaoaru (1979),C3_25c,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5130,PROCEQ Original Schmidt Type N,,Horizontal,18,31.0,Cube,150.0,150.0,30,,,,38.64,38.64,32.07,
Cianfrone & Facaoaru (1979),C4_25d,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5230,PROCEQ Original Schmidt Type N,,Horizontal,18,37.0,Cube,150.0,150.0,30,,,,47.86,47.86,39.72,
Cianfrone & Facaoaru (1979),C5_123,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5050,PROCEQ Original Schmidt Type N,,Horizontal,18,40.0,Cube,150.0,150.0,30,,,,56.19,56.19,46.64,
Cianfrone & Facaoaru (1979),C6_1a,Italy,Cube - Laboratory,1,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4880,PROCEQ Original Schmidt Type N,,Horizontal,18,34.0,Cube,150.0,150.0,30,,,,52.47,52.47,43.55,
Cianfrone & Facaoaru (1979),C7_1b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5130,PROCEQ Original Schmidt Type N,,Horizontal,18,43.0,Cube,150.0,150.0,30,,,,65.90,65.90,54.80,
Cianfrone & Facaoaru (1979),C8_79,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5190,PROCEQ Original Schmidt Type N,,Horizontal,18,41.0,Cube,150.0,150.0,30,,,,69.33,69.33,58.23,
Cianfrone & Facaoaru (1979),C9_124,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5050,PROCEQ Original Schmidt Type N,,Horizontal,18,42.0,Cube,150.0,150.0,30,,,,65.41,65.41,54.31,
Cianfrone & Facaoaru (1979),C10_58,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4910,PROCEQ Original Schmidt Type N,,Horizontal,18,33.0,Cube,150.0,150.0,30,,,,45.31,45.31,37.60,
Cianfrone & Facaoaru (1979),C11_126,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5210,PROCEQ Original Schmidt Type N,,Horizontal,18,43.0,Cube,150.0,150.0,30,,,,71.49,71.49,60.39,
Cianfrone & Facaoaru (1979),C12_121,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5180,PROCEQ Original Schmidt Type N,,Horizontal,18,43.0,Cube,150.0,150.0,30,,,,69.33,69.33,58.23,
Cianfrone & Facaoaru (1979),C13_103,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5120,PROCEQ Original Schmidt Type N,,Horizontal,18,46.0,Cube,150.0,150.0,30,,,,76.30,76.30,65.20,
Cianfrone & Facaoaru (1979),C14_61,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5140,PROCEQ Original Schmidt Type N,,Horizontal,18,42.0,Cube,150.0,150.0,30,,,,64.92,64.92,53.88,
Cianfrone & Facaoaru (1979),C15_27a,Italy,Cube - Laboratory,1,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5080,PROCEQ Original Schmidt Type N,,Horizontal,18,38.0,Cube,150.0,150.0,30,,,,52.27,52.27,43.38,
Cianfrone & Facaoaru (1979),C16_27b,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5230,PROCEQ Original Schmidt Type N,,Horizontal,18,41.0,Cube,150.0,150.0,30,,,,61.88,61.88,51.36,
Cianfrone & Facaoaru (1979),C17_27c,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5300,PROCEQ Original Schmidt Type N,,Horizontal,18,43.0,Cube,150.0,150.0,30,,,,68.84,68.84,57.74,
Cianfrone & Facaoaru (1979),C18_65,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5170,PROCEQ Original Schmidt Type N,,Horizontal,18,44.0,Cube,150.0,150.0,30,,,,65.41,65.41,54.31,
Cianfrone & Facaoaru (1979),C19_41,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4880,PROCEQ Original Schmidt Type N,,Horizontal,18,25.0,Cube,150.0,150.0,30,,,,28.34,28.34,23.52,
Cianfrone & Facaoaru (1979),C20_128,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5050,PROCEQ Original Schmidt Type N,,Horizontal,18,44.0,Cube,150.0,150.0,30,,,,62.76,62.76,52.09,
Cianfrone & Facaoaru (1979),C21_123,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5200,PROCEQ Original Schmidt Type N,,Horizontal,18,44.0,Cube,150.0,150.0,30,,,,65.80,65.80,54.70,
Cianfrone & Facaoaru (1979),C22_131,Italy,Cube - Laboratory,30,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5300,PROCEQ Original Schmidt Type N,,Horizontal,18,45.0,Cube,150.0,150.0,30,,,,64.72,64.72,53.72,
Cianfrone & Facaoaru (1979),C23_-,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5220,PROCEQ Original Schmidt Type N,,Horizontal,18,43.0,Cube,150.0,150.0,30,,,,58.35,58.35,48.43,
Cianfrone & Facaoaru (1979),C24_88,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5390,PROCEQ Original Schmidt Type N,,Horizontal,18,45.0,Cube,150.0,150.0,30,,,,60.80,60.80,50.47,
Cianfrone & Facaoaru (1979),C25_54,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4900,PROCEQ Original Schmidt Type N,,Horizontal,18,34.0,Cube,150.0,150.0,30,,,,53.25,53.25,44.20,
Cianfrone & Facaoaru (1979),C26_125,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5040,PROCEQ Original Schmidt Type N,,Horizontal,18,38.0,Cube,150.0,150.0,30,,,,61.29,61.29,50.87,
Cianfrone & Facaoaru (1979),C27_86,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5050,PROCEQ Original Schmidt Type N,,Horizontal,18,31.0,Cube,150.0,150.0,30,,,,47.86,47.86,39.72,
Cianfrone & Facaoaru (1979),C28_30,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5100,PROCEQ Original Schmidt Type N,,Horizontal,18,34.0,Cube,150.0,150.0,30,,,,51.68,51.68,42.90,
Cianfrone & Facaoaru (1979),C29_78,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5320,PROCEQ Original Schmidt Type N,,Horizontal,18,32.0,Cube,150.0,150.0,30,,,,51.68,51.68,42.90,
Cianfrone & Facaoaru (1979),C30_62,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4930,PROCEQ Original Schmidt Type N,,Horizontal,18,30.0,Cube,150.0,150.0,30,,,,37.46,37.46,31.09,
Cianfrone & Facaoaru (1979),C31_46,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5270,PROCEQ Original Schmidt Type N,,Horizontal,18,36.0,Cube,150.0,150.0,30,,,,50.21,50.21,41.67,
Cianfrone & Facaoaru (1979),C32_59,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5230,PROCEQ Original Schmidt Type N,,Horizontal,18,36.0,Cube,150.0,150.0,30,,,,49.43,49.43,41.02,
Cianfrone & Facaoaru (1979),C33_68,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5200,PROCEQ Original Schmidt Type N,,Horizontal,18,38.0,Cube,150.0,150.0,30,,,,51.68,51.68,42.90,
Cianfrone & Facaoaru (1979),C34_94,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5260,PROCEQ Original Schmidt Type N,,Horizontal,18,37.0,Cube,150.0,150.0,30,,,,50.21,50.21,41.67,
Cianfrone & Facaoaru (1979),C35_101,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,4980,PROCEQ Original Schmidt Type N,,Horizontal,18,38.0,Cube,150.0,150.0,30,,,,46.68,46.68,38.74,
Cianfrone & Facaoaru (1979),C36_102a,Italy,Cube - Laboratory,7,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5150,PROCEQ Original Schmidt Type N,,Horizontal,18,33.0,Cube,150.0,150.0,30,,,,53.64,53.64,44.52,
Cianfrone & Facaoaru (1979),C37_102b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5220,PROCEQ Original Schmidt Type N,,Horizontal,18,39.0,Cube,150.0,150.0,30,,,,60.11,60.11,49.90,
Cianfrone & Facaoaru (1979),C38_73a,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5270,PROCEQ Original Schmidt Type N,,Horizontal,18,37.0,Cube,150.0,150.0,30,,,,54.03,54.03,44.85,
Cianfrone & Facaoaru (1979),C39_74b,Italy,Cube - Laboratory,28,FALSE,,,50,BS 4408: Part 5 (1974),Direct,3,5170,PROCEQ Original Schmidt Type N,,Horizontal,18,39.0,Cube,150.0,150.0,30,,,,53.25,53.25,44.20,
