P,L,H,B,t,Fy,fc
497.3670000000001,300.0,100.0,100.0,2.29,194.238,31.9806
498.348,300.0,100.0,100.0,2.29,194.238,31.9806
510.12,300.0,100.0,100.0,2.2,339.426,21.3858
528.759,300.0,100.0,100.0,2.99,288.414,20.601
527.778,300.0,100.0,100.0,2.99,288.414,20.601
667.08,300.0,100.0,100.0,4.25,284.49,19.8162
666.099,300.0,100.0,100.0,4.25,284.49,19.8162
558.189,480.0,150.0,150.0,0.7000000000000001,245.25,22.563
795.591,480.0,200.0,150.0,0.7000000000000001,245.25,22.563
747.522,480.0,150.0,150.0,0.7000000000000001,245.25,33.7464
1173.276,480.0,200.0,150.0,1.4,245.25,33.7464
850.0,200.0,120.0,80.0,5.0,357.5,35.7
900.0,200.0,120.0,80.0,5.0,341.0,38.8
920.0,200.0,120.0,80.0,5.0,341.0,40.5
950.0,200.0,120.0,80.0,5.0,362.6,39.1
955.0,200.0,120.0,80.0,5.0,362.6,36.0
1370.0,100.0,150.0,100.0,5.0,346.7,38.5
1210.0,200.0,150.0,100.0,5.0,346.7,38.5
1340.0,100.0,150.0,100.0,5.0,346.7,38.3
1200.0,200.0,150.0,100.0,5.0,346.7,38.3
1300.0,100.0,150.0,100.0,5.0,340.0,38.7
1190.0,200.0,150.0,100.0,5.0,340.0,38.7
1320.0,100.0,150.0,100.0,5.0,340.0,39.6
1200.0,200.0,150.0,100.0,5.0,340.0,39.6
4870.0,500.0,250.0,250.0,8.0,379.0,33.0
8300.0,500.0,250.0,250.0,8.0,379.0,91.0
14116.0,1200.0,305.0,305.0,8.9,600.0,110.0
12307.0,1200.0,305.0,305.0,6.1,660.0,110.0
11390.0,1200.0,305.0,305.0,8.6,269.0,110.0
11568.0,1200.0,305.0,305.0,5.8,471.0,110.0
2230.0,600.9000000000001,200.3,200.3,4.35,322.0,29.6
5102.0,901.5,300.5,300.5,6.1,395.0,26.5
851.0,300.3,100.1,100.1,2.18,300.0,53.7
3201.0,600.3,200.1,200.1,4.35,322.0,57.9
6496.0,902.0999999999999,300.7,300.7,6.1,395.0,52.2
911.0,300.3,100.1,100.1,2.18,300.0,61.0
3417.0,600.9000000000001,200.3,200.3,4.35,322.0,63.7
882.0,360.0,120.0,120.0,3.84,330.0,21.53372990323617
882.0,360.0,120.0,120.0,3.84,330.0,24.9895921100978
921.0,360.0,120.0,120.0,3.84,330.0,24.9895921100978
1080.0,360.0,120.0,120.0,3.84,330.0,41.39001724151024
1078.0,360.0,120.0,120.0,3.84,330.0,44.46758439151223
941.0,420.0,140.0,140.0,3.84,330.0,11.79506854842544
922.0,420.0,140.0,140.0,3.84,330.0,12.4847286037014
1499.0,420.0,140.0,140.0,3.84,330.0,46.38278346118148
1470.0,420.0,140.0,140.0,3.84,330.0,46.38278346118148
1176.0,360.0,120.0,120.0,5.86,321.0,23.87384014012435
1117.0,360.0,120.0,120.0,5.86,321.0,23.87384014012435
1196.0,360.0,120.0,120.0,5.86,321.0,20.18038398440678
1460.0,360.0,120.0,120.0,5.86,321.0,44.46758439151223
1372.0,360.0,120.0,120.0,5.86,321.0,44.46758439151223
1343.0,420.0,140.0,140.0,5.86,321.0,12.06052626151454
1292.0,420.0,140.0,140.0,5.86,321.0,13.74846844609584
2009.0,420.0,140.0,140.0,5.86,321.0,46.38278346118148
1906.0,420.0,140.0,140.0,5.86,321.0,46.38278346118148
2058.0,600.0,200.0,200.0,5.86,321.0,13.16959388355324
1960.0,600.0,200.0,200.0,5.86,321.0,13.16959388355324
1310.0,303.9,101.3,101.3,4.97,347.3,54.27381616370749
1340.0,310.8,103.6,103.6,4.9,347.3,54.27381616370749
2160.0,426.0,142.0,142.0,5.11,347.3,54.27381616370749
2250.0,426.0,142.0,142.0,5.08,347.3,54.27381616370749
1360.0,426.3,142.1,142.1,3.02,255.1,46.64676865828491
1400.0,426.3,142.1,142.1,3.02,255.1,46.64676865828491
1328.0,426.3,142.1,142.1,2.01,305.1,46.64676865828491
1364.0,426.3,142.1,142.1,2.01,305.1,46.64676865828491
1280.0,422.7,140.9,140.9,2.02,305.1,46.64676865828491
1500.0,310.5,103.5,103.5,5.01,347.3,67.1444928642016
1330.0,306.3,102.1,102.1,4.97,347.3,67.1444928642016
1440.0,305.7,101.9,101.9,5.03,347.3,67.1444928642016
