B,H,NT,NC,MnP,MuP,MnN,MuN,VC,VS
300,450,2,2,95.5,86,95.5,86,0.135,1.257
300,450,2,3,95.8,86.2,137.8,124,0.135,1.571
300,450,2,4,95.9,86.3,179.6,161.7,0.135,1.885
300,450,2,5,96,86.4,220.8,198.7,0.135,2.199
300,450,3,2,137.8,124,95.8,86.2,0.135,1.571
300,450,3,3,137.8,124,137.8,124,0.135,1.885
300,450,3,4,137.8,124,179.6,161.7,0.135,2.199
300,450,3,5,137.8,124,221,198.9,0.135,2.513
300,450,4,2,179.6,161.7,95.9,86.3,0.135,1.885
300,450,4,3,179.6,161.7,137.8,124,0.135,2.199
300,450,4,4,179.6,161.6,179.6,161.6,0.135,2.513
300,450,4,5,179.6,161.6,221.1,199,0.135,2.827
300,450,5,2,220.8,198.7,96,86.4,0.135,2.199
300,450,5,3,221,198.9,137.8,124,0.135,2.513
300,450,5,4,221.1,199,179.6,161.6,0.135,2.827
300,500,2,2,108.1,97.3,108.1,97.3,0.15,1.257
300,500,2,3,108.3,97.5,156.7,141,0.15,1.571
300,500,2,4,108.4,97.6,204.8,184.3,0.15,1.885
300,500,2,5,108.5,97.7,252.2,227,0.15,2.199
300,500,3,2,156.7,141,108.3,97.5,0.15,1.571
300,500,3,3,156.7,141,156.7,141,0.15,1.885
300,500,3,4,156.7,141,204.8,184.3,0.15,2.199
300,500,3,5,156.7,141,252.4,227.2,0.15,2.513
300,500,4,2,204.8,184.3,108.4,97.6,0.15,1.885
300,500,4,3,204.8,184.3,156.7,141,0.15,2.199
300,500,4,4,204.7,184.3,204.7,184.3,0.15,2.513
300,500,4,5,204.7,184.2,252.5,227.2,0.15,2.827
300,500,5,2,252.2,227,108.5,97.7,0.15,2.199
300,500,5,3,252.4,227.2,156.7,141,0.15,2.513
300,500,5,4,252.5,227.2,204.7,184.2,0.15,2.827
300,550,2,2,120.7,108.6,120.7,108.6,0.165,1.257
300,550,2,3,120.9,108.8,175.5,158,0.165,1.571
300,550,2,4,121,108.9,229.9,206.9,0.165,1.885
300,550,2,5,121.1,109,283.6,255.3,0.165,2.199
300,550,3,2,175.5,158,120.9,108.8,0.165,1.571
300,550,3,3,175.5,158,175.5,158,0.165,1.885
300,550,3,4,175.5,158,229.9,206.9,0.165,2.199
300,550,3,5,175.5,158,283.8,255.4,0.165,2.513
300,550,4,2,229.9,206.9,121,108.9,0.165,1.885
300,550,4,3,229.9,206.9,175.5,158,0.165,2.199
300,550,4,4,229.9,206.9,229.9,206.9,0.165,2.513
300,550,4,5,229.8,206.9,283.9,255.5,0.165,2.827
300,550,5,2,283.6,255.3,121.1,109,0.165,2.199
300,550,5,3,283.8,255.4,175.5,158,0.165,2.513
300,550,5,4,283.9,255.5,229.8,206.9,0.165,2.827
300,550,5,5,283.9,255.5,283.9,255.5,0.165,3.142
300,600,2,3,133.5,120.1,194.4,174.9,0.18,1.571
300,600,2,4,133.6,120.2,255,229.5,0.18,1.885
300,600,2,5,133.7,120.3,315,283.5,0.18,2.199
300,600,3,2,194.4,174.9,133.5,120.1,0.18,1.571
300,600,3,3,194.4,174.9,194.4,174.9,0.18,1.885
300,600,3,4,194.4,174.9,255,229.5,0.18,2.199
300,600,3,5,194.4,174.9,315.2,283.7,0.18,2.513
300,600,4,2,255,229.5,133.6,120.2,0.18,1.885
300,600,4,3,255,229.5,194.4,174.9,0.18,2.199
300,600,4,4,255,229.5,255,229.5,0.18,2.513
300,600,4,5,255,229.5,315.3,283.8,0.18,2.827
300,600,5,2,315,283.5,133.7,120.3,0.18,2.199
