Type of cement,water to cement ratio,Content of carbon nanotube (%),External diameter of carbon nanotube (nm),Length of carbon nanotube (¦Ìm),Functionalization method,Curing days,Curing temperature (¡æ),Dispersion method,Flexural strength MPa
1,0.45,0,20,250,2,28,30,1,6.7
1,0.45,0.5,20,250,2,28,30,1,8.4
1,0.2,0.1,4,1,1,28,20,2,9.1
1,0.2,0.5,4,1,1,28,20,2,10.6
1,0.2,0.8,4,1,1,28,20,2,9
1,0.2,0.1,20,1,1,28,20,2,13.5
1,0.2,0.5,20,1,1,28,20,2,11.1
1,0.2,0.8,20,1,1,28,20,2,11.9
1,0.2,0.1,4,10,1,28,20,2,12.9
1,0.2,0.5,4,10,1,28,20,2,11.9
1,0.2,0.8,4,10,1,28,20,2,12.4
1,0.2,0.1,20,10,1,28,20,2,12.6
1,0.2,0.5,20,10,1,28,20,2,12
1,0.2,0.8,20,10,1,28,20,2,12.6
1,0.2,0.1,4,1,3,28,20,2,11
1,0.2,0.5,4,1,3,28,20,2,15.3
1,0.2,0.8,4,1,3,28,20,2,7.8
1,0.2,0.1,4,1,2,28,20,2,10.3
1,0.2,0.5,4,1,2,28,20,2,13.4
1,0.2,0.8,4,1,2,28,20,2,9.7
1,0.2,0.1,4,10,3,28,20,2,9.1
1,0.2,0.5,4,10,3,28,20,2,10.8
1,0.2,0.8,4,10,3,28,20,2,11
1,0.2,0.1,4,10,2,28,20,2,13
1,0.2,0.5,4,10,2,28,20,2,11.7
1,0.2,0.8,4,10,2,28,20,2,13.4
1,0.33,0,40,10,1,28,20,3,4
1,0.33,0.025,40,10,1,28,20,3,4.3
1,0.33,0.05,40,10,1,28,20,3,4.6
1,0.33,0.1,40,10,1,28,20,3,5.2
1,0.35,0,30,10,1,28,25,4,11
1,0.35,0.05,30,10,1,28,25,4,11.7
1,0.35,0.08,30,10,1,28,25,4,15.8
1,0.35,0.1,30,10,1,28,25,4,15
1,0.35,0.12,30,10,1,28,25,4,13.1
1,0.35,0.15,30,10,1,28,25,4,10.5
1,0.4,0.5,20,500,5,28,30,5,9.6
1,0.4,0.5,20,500,1,28,30,5,10
1,0.4,0.03,20,30,1,3,25,2,8.7
1,0.4,0.03,30,30,1,3,25,2,7.7
1,0.4,0.03,50,30,1,3,25,2,7.6
1,0.4,0.03,20,30,1,7,25,2,9.8
1,0.4,0.03,30,30,1,7,25,2,8.6
1,0.4,0.03,50,30,1,7,25,2,9.2
1,0.4,0.03,20,30,1,28,25,2,12.7
1,0.4,0.03,30,30,1,28,25,2,11.5
1,0.4,0.03,50,30,1,28,25,2,9.8
1,0.4,0.08,20,30,1,3,25,2,6.3
1,0.4,0.08,30,30,1,3,25,2,7.1
1,0.4,0.08,50,30,1,3,25,2,6.9
1,0.4,0.08,20,30,1,7,25,2,8.5
1,0.4,0.08,30,30,1,7,25,2,8.4
1,0.4,0.08,50,30,1,7,25,2,8.3
1,0.4,0.08,20,30,1,28,25,2,11.8
1,0.4,0.08,30,30,1,28,25,2,10.5
1,0.4,0.08,50,30,1,28,25,2,10.7
1,0.4,0.15,20,30,1,3,25,2,7.4
1,0.4,0.15,30,30,1,3,25,2,7.4
1,0.4,0.15,50,30,1,3,25,2,9
1,0.4,0.15,20,30,1,7,25,2,11
1,0.4,0.15,30,30,1,7,25,2,9.4
1,0.4,0.15,50,30,1,7,25,2,10.4
1,0.4,0.15,20,30,1,28,25,2,13.2
1,0.4,0.15,30,30,1,28,25,2,11.4
1,0.4,0.15,50,30,1,28,25,2,12
1,0.4,0.25,20,30,1,3,25,2,7.4
1,0.4,0.25,30,30,1,3,25,2,7.4
1,0.4,0.25,50,30,1,3,25,2,8.8
1,0.4,0.25,20,30,1,7,25,2,11
1,0.4,0.25,30,30,1,7,25,2,9.4
1,0.4,0.25,50,30,1,7,25,2,10.4
1,0.4,0.25,20,30,1,28,25,2,13.2
1,0.4,0.25,30,30,1,28,25,2,11.7
1,0.4,0.25,50,30,1,28,25,2,12
1,0.4,0.03,20,1,1,3,25,2,7.7
1,0.4,0.08,20,1,1,3,25,2,7
1,0.4,0.15,20,1,1,3,25,2,8.6
1,0.4,0.25,20,1,1,3,25,2,9.9
1,0.4,0.03,20,1,1,7,25,2,10.1
1,0.4,0.08,20,1,1,7,25,2,7.7
1,0.4,0.15,20,1,1,7,25,2,10.5
1,0.4,0.25,20,1,1,7,25,2,11.8
1,0.4,0.03,20,1,1,28,25,2,12.1
1,0.4,0.08,20,1,1,28,25,2,10.1
1,0.4,0.15,20,1,1,28,25,2,12.8
1,0.4,0.25,20,1,1,28,25,2,14.8
2,0.5,0,4,2,1,7,20,1,7.6
2,0.5,0.05,4,2,1,7,20,1,6.5
2,0.5,0.1,4,2,1,7,20,1,6
2,0.5,0.25,4,2,1,7,20,1,5.7
2,0.5,0.5,4,2,1,7,20,1,6.7
2,0.5,0,4,2,1,28,20,1,7.8
2,0.5,0.05,4,2,1,28,20,1,7.9
2,0.5,0.1,4,2,1,28,20,1,7.5
2,0.5,0.25,4,2,1,28,20,1,7.4
2,0.5,0.5,4,2,1,28,20,1,7.5
1,0.45,0,10,10,1,28,23,5,11.6
1,0.45,0.044,10,10,1,28,23,5,11.6
1,0.45,0.088,10,10,1,28,23,5,11.4
1,0.45,0.1,10,10,1,28,23,5,11
1,0.45,0.2,10,10,1,28,23,5,12
1,0.45,0.3,10,10,1,28,23,5,12.5
1,0.45,0.044,10,10,2,28,23,5,10.7
1,0.45,0.088,10,10,2,28,23,5,10.9
1,0.45,0.1,10,10,2,28,23,5,11.2
1,0.45,0.2,10,10,2,28,23,5,12.3
1,0.45,0.3,10,10,2,28,23,5,12.4
1,0.4,0,10,30,1,28,23,2,10.5
1,0.4,0.03,10,30,1,28,23,2,11.1
1,0.4,0.08,10,30,1,28,23,2,10.7
1,0.4,0.15,10,30,1,28,23,2,13.5
1,0.4,0.25,10,30,1,28,23,2,16.3
1,0.4,0.35,10,30,1,28,23,2,16.4
1,0.4,0.5,10,30,1,28,23,2,16.9
