Fe,C,Mn,Si,Cr,Ni,Mo,V,Nb,Co,Al,Ti,N,W,yield_strength
0.62,0.000953,0.000521,0.00102,0.00011,0.192,0.0176,0.000112,6.16E-05,0.146,0.00318,0.0185,0,0,2411.5
0.623,0.00854,0.000104,0.000203,0.147,9.71E-05,0.0179,0.00515,6.14E-05,0.188,0.000845,0,0.00163,0.00729,1123.1
0.625,0,0.000102,0.0002,0.0936,0.129,0.0048,0.00011,6.04E-05,0.132,0.00812,0.00669,0,0,1736.3
0.634,0.000478,0.000523,0.00102,0.000111,0.173,0.0237,0.000113,6.19E-05,0.146,0.00277,0.0176,0,0,2487.3
0.636,0.000474,0.000518,0.00101,0.000109,0.188,0.0086,0.000112,6.12E-05,0.144,0.00274,0.0184,0,0,2249.6
0.636,0.00881,0.000203,0.00972,0.135,0.00892,0.0114,0.000109,6.00E-05,0.19,0.00062,0,0,0,1328.3
0.644,0,0.000521,0.00102,0.00011,0.177,0.0215,0.000112,6.17E-05,0.126,0.00234,0.0269,0,0,2501.1
0.646,0.00479,0.00597,0.00492,0.135,9.80E-05,0.0534,0.000113,6.19E-05,0.148,0.00064,0,0.000821,0,1228.9
0.648,0.000453,9.91E-05,0.0386,0.183,0.0195,0.000113,0.000107,5.86E-05,0.109,0.000605,0.000569,0,0,1088.6
0.648,0.00751,0.000103,0.000201,0.158,9.61E-05,0.0288,0.00531,6.07E-05,0.149,0.000836,0,0.00201,0,1502
0.65,0.000477,0.000522,0.00102,0.00011,0.176,0.0215,0.000113,6.17E-05,0.126,0.0017,0.0225,0,0,2411.5
0.652,0,0.000522,0.00102,0.00011,0.177,0.0209,0.000113,6.17E-05,0.126,0.00212,0.0194,0,0,2331.1
0.655,0.00752,0.000103,0.000201,0.147,9.61E-05,0.0276,0.00443,6.07E-05,0.155,0.000836,0,0.00161,0,1274.7
0.655,0,0.000522,0.00102,0.00011,0.176,0.0215,0.00563,6.17E-05,0.117,0.000425,0.0228,0,0,2402.3
0.656,0.00758,0.000104,0.000203,0.156,9.70E-05,0.0424,0.00458,6.13E-05,0.131,0.000844,0,0.00122,0,1460.7
0.656,0.0093,0.000102,0.000199,0.152,0.00875,0.0116,0.00011,0.000481,0.161,0.000621,0,0,0,1243.4
0.657,0.000954,0.000522,0.00102,0.00011,0.166,0.0243,0.00776,6.17E-05,0.12,0.0034,0.0189,0,0,2381.6
0.659,0.00747,0.000102,0.0134,0.156,9.55E-05,0.0297,0.00451,6.03E-05,0.128,0.000831,0,0.0008,0,1412.5
0.66,0.000484,0.000106,0.000207,0.000112,0.148,0.0364,0.000114,6.25E-05,0.146,0.000646,0.00752,0,0,1603.3
0.661,0.000454,9.93E-05,0.0375,0.164,0.0381,0.000114,0.000107,5.87E-05,0.0972,0.000606,0.000684,0,0,1185.1
0.661,0.000475,0.00052,0.00102,0.00011,0.17,0.0247,0.000112,6.15E-05,0.111,0.0131,0.0177,0,0,2510.3
0.662,0.000477,0.000521,0.00102,0.00011,0.168,0.0236,0.000112,6.16E-05,0.119,0.00488,0.0213,0,0,2372.4
0.663,0.00329,0.000103,0.000201,0.169,9.63E-05,0.0294,0.00455,6.08E-05,0.129,0.000629,0,0.00121,0,1312.6
0.664,0.00751,0.00575,0.000201,0.157,9.61E-05,0.0301,0.00454,6.07E-05,0.128,0.00105,0,0.00121,0,1350.4
0.664,0.00754,0.000103,0.000604,0.152,0.0105,0.0292,0.000111,0.00164,0.134,0.000629,0,0,0,1169.4
0.664,0.00926,0.000101,0.0101,0.134,0.009,0.0114,0.000109,0.000479,0.161,0.000618,0,0,0,1322.1
0.665,0.000468,0.000102,0.0002,0.121,0.0768,0.0293,0.00011,6.06E-05,0.0823,0.0254,0.000118,0,0,1870.6
0.666,0.000482,0.000105,0.000206,0.000111,0.149,0.0308,0.000114,6.23E-05,0.15,0.000644,0.00242,0,0,1580
0.666,0.00702,0.000102,0.0002,0.157,9.58E-05,0.0296,0.00508,6.05E-05,0.129,0.00104,0,0.00602,0,1164.4
0.666,0.00751,0.000103,0.000201,0.155,9.60E-05,0.0299,0.00963,6.07E-05,0.129,0.00104,0,0.00161,0,1550.3
0.667,0.000477,0.000522,0.00102,0.00011,0.171,0.0233,0.000113,6.17E-05,0.115,0.00361,0.0184,0,0,2381.6
0.667,0.00984,0.000102,0.0002,0.158,9.59E-05,0.0295,0.00453,6.06E-05,0.129,0.00104,0,0.000804,0,1405.6
0.667,0.00984,0.000102,0.0002,0.158,9.59E-05,0.0295,0.00508,6.06E-05,0.128,0.00104,0,0.000804,0,1529.6
0.668,0.000469,0.000102,0.0002,0.119,0.0764,0.0293,0.00011,6.06E-05,0.0817,0.0252,0.000118,0,0,1825.8
0.668,0.00972,0.00435,0.0099,0.134,0.0112,0.0119,0.000109,5.98E-05,0.15,0.000618,0,0,0,1352.2
0.668,0,0.000102,0.0002,0.119,0.0767,0.0292,0.000111,6.06E-05,0.0813,0.0248,0.000235,0,0,1837.9
0.669,0.00331,0.0059,0.00648,0.129,9.69E-05,0.0375,0.000112,6.12E-05,0.147,0.000632,0,0.00203,0,1133.4
0.669,0.00929,0.000102,0.000596,0.151,9.50E-05,0.0115,0.00011,0.00048,0.157,0.00062,0,0,0,1358.2
0.669,0.00957,9.96E-05,0.0388,0.132,0.00876,0.0113,0.000107,0.000471,0.129,0.000608,0,0,0,1354.2
0.67,0.00439,0.00704,0.00563,0.138,9.99E-05,0.000122,0.000115,6.31E-05,0.147,0.000652,0,0.00126,0.0255,1081.1
0.67,0.00564,0.000103,0.000201,0.158,9.63E-05,0.03,0.00477,6.08E-05,0.129,0.000628,0,0.00121,0,1515.8
0.67,0.00798,0.000103,0.000201,0.155,9.61E-05,0.0299,0.00454,6.07E-05,0.131,0.000627,0,0.00121,0,1502
0.671,0.00047,0.000514,0.001,0.000109,0.141,0.00882,0.000111,6.07E-05,0.147,0.0159,0.0137,0,0,2157.3
0.671,0.00189,0.00569,0.00547,0.134,9.69E-05,0.0347,0.000112,6.12E-05,0.145,0.000632,0,0.00122,0,1287.4
0.671,0.00376,0.000103,0.000201,0.157,9.62E-05,0.0294,0.0051,6.08E-05,0.13,0.000628,0,0.00282,0,1311.4
0.671,0.00925,0.00516,0.0103,0.135,0.00965,0.0115,0.000109,5.98E-05,0.147,0.000618,0,0,0,1245.4
0.672,0.00473,0.00527,0.00647,0.131,9.68E-05,0.0373,0.000111,6.11E-05,0.141,0.000631,0,0.00162,0,1155
0.672,0.00564,0.000103,0.000201,0.156,9.62E-05,0.0294,0.00454,6.08E-05,0.129,0.00105,0,0.00121,0,1322.9
0.673,0.000475,0.000104,0.000203,0.00011,0.144,0.0149,0.000112,6.14E-05,0.145,0.000635,0.0215,0,0,1571.2
0.673,0.000475,0.000104,0.000203,0.00011,0.18,0.0286,0.00482,6.14E-05,0.0842,0.0201,0.00858,0,0,1288.4
0.673,0.000908,9.92E-05,0.0361,0.167,0.0372,0.000114,0.000107,5.87E-05,0.0851,0.000404,0.000569,0,0,1143.7
0.674,0.00752,0.000103,0.000201,0.156,9.61E-05,0.0303,0.000111,6.07E-05,0.129,0.00146,0,0.00121,0,1460.7
0.674,0.00925,0.00516,0.0101,0.135,0.00975,0.0115,0.000109,5.98E-05,0.145,0.000618,0,0,0,1300.3
0.674,0.0112,0.000102,0.000199,0.0957,0.0829,0.00874,0.00307,6.02E-05,0.123,0.000622,0.000234,0,0,1309.1
0.675,0.00705,0.000103,0.000201,0.157,9.62E-05,0.0294,0.000111,6.08E-05,0.129,0.00105,0,0,0,1338
0.676,0.000475,0.000104,0.000203,0.00011,0.18,0.0279,0.000112,6.14E-05,0.0852,0.0216,0.00846,0,0,1309.1
0.677,0.000478,0.000104,0.000204,0.00011,0.146,0.0188,0.000113,6.17E-05,0.149,0.000638,0.00839,0,0,1669.3
0.677,0.00916,0.0001,0.0294,0.134,0.00881,0.0113,0.000108,0.000474,0.129,0.000611,0,0,0,1382.2
