elastic modulus of fiber reinforced polymers (GPa),tensile strength of fiber reinforced polymers (MPa),thickness of fiber reinforced polymers (mm),width of fiber reinforced polymers (mm),bond length (mm),compressive strength of concrete specimen (MPa),width of concrete specimen (mm),interfacial bond strength load kN
108.478,1655,1.016,25.4,76.2,36.1,228.6,8.462
108.478,1655,1.016,25.4,76.2,47.1,228.6,9.931
108.478,1655,1.016,25.4,76.2,47.1,228.6,10.638
108.478,1655,1.016,25.4,76.2,47.1,228.6,10.638
108.478,1655,1.016,25.4,76.2,43.6,228.6,10.531
108.478,1655,1.016,25.4,76.2,43.6,228.6,9.61
108.478,1655,1.016,25.4,76.2,43.6,228.6,10.518
108.478,1655,1.016,25.4,76.2,43.6,228.6,11.199
108.478,1655,1.016,25.4,76.2,24,228.6,9.869
108.478,1655,1.016,25.4,76.2,28.9,228.6,9.343
108.478,1655,1.016,25.4,76.2,43.7,228.6,11.204
108.478,1655,1.016,25.4,76.2,36.4,228.6,8.094
108.478,1655,1.016,25.4,76.2,36.4,228.6,12.811
108.478,1655,1.016,25.4,76.2,36.4,228.6,11.917
108.478,1655,1.016,25.4,76.2,36.4,228.6,11.57
230,3481,0.167,40,100,28.88,100,8.75
230,3481,0.167,40,100,26.66,100,8.85
230,3481,0.167,40,200,28.88,100,9.3
230,3481,0.167,40,200,26.66,100,8.5
230,3481,0.167,40,300,28.88,100,9.3
230,3481,0.167,40,300,26.66,100,8.3
230,3481,0.167,40,500,28.88,100,8.05
230,3481,0.167,40,500,28.88,100,8.05
230,3481,0.167,40,500,26.47,100,8.45
230,3481,0.167,40,500,26.47,100,7.3
230,3481,0.167,40,100,24.99,100,8.75
230,3481,0.167,40,100,24.99,100,8.85
230,3481,0.167,40,100,26.17,100,7.75
230,3481,0.167,40,100,26.17,100,7.65
230,3481,0.167,40,100,24.4,100,9
230,3481,0.167,40,100,24.99,100,12
230,3481,0.167,40,100,24.99,100,10.8
230,3481,0.167,40,100,24.99,100,12.65
230,3481,0.167,40,100,24.99,100,14.35
230,3481,0.167,40,100,24.4,100,11.55
230,3481,0.167,40,100,24.4,100,11
230,3481,0.167,40,100,26.17,100,9.85
230,3481,0.167,40,100,26.17,100,9.5
230,3481,0.167,40,100,26.17,100,8.8
230,3481,0.167,40,100,26.17,100,9.25
230,3481,0.167,40,100,26.17,100,7.65
230,3481,0.167,40,100,26.17,100,6.8
230,3481,0.167,40,100,49.97,100,7.75
230,3481,0.167,40,100,49.97,100,8.05
230,3481,0.167,40,100,24.4,100,6.75
230,3481,0.167,40,100,24.4,100,6.8
230,3481,0.167,40,100,24.99,100,7.7
230,3481,0.167,40,100,26.17,100,6.95
256,4114,0.165,25,75,23,150,4.75
256,4114,0.165,25,85,23,150,5.69
