Type_of_fiber,Fiber_diameter,Embedded_length,Youngs_modulus_of_fiber,Poisson_ratio_of_fiber,Type_of_matrix,Youngs_modulus_of_matrix,Poissons_ratio_of_matrix,Loading_rate,Prepare_temperature,Test_temperature,IFSS
1,6,42.5,294,0.3,1,3,0.34,6,370,30,67.1
1,6,42.5,294,0.3,1,3,0.34,6,370,30,60.8
1,6,42.5,294,0.3,1,2.5,0.34,6,370,50,68.6
1,6,42.5,294,0.3,1,2.3,0.34,6,370,70,71.8
1,6,42.5,294,0.3,1,2.3,0.34,6,370,70,60.2
1,6,42.5,294,0.3,1,2.3,0.34,6,370,70,56.5
1,6,42.5,294,0.3,1,2.3,0.34,6,370,70,53.6
1,6,42.5,294,0.3,1,2,0.34,6,370,100,86.2
1,6,42.5,294,0.3,1,2,0.34,6,370,100,83.3
1,6,42.5,294,0.3,1,2,0.34,6,370,100,70.9
1,6,42.5,294,0.3,1,2,0.34,6,370,100,63.8
1,6,42.5,294,0.3,1,2,0.34,6,370,100,59.7
1,6,42.5,294,0.3,1,2,0.34,6,370,100,48.9
2,7,50,230,0.2,2,2.74,0.35,0.014,230,25,58.8
2,7,51.3,230,0.2,2,2.74,0.35,0.014,230,25,63.1
2,7,51.6,230,0.2,2,2.74,0.35,0.014,230,25,64
2,7,51.8,230,0.2,2,2.74,0.35,0.014,230,25,60.6
2,7,52.2,230,0.2,2,2.74,0.35,0.014,230,25,66.9
2,7,54.1,230,0.2,2,2.74,0.35,0.014,230,25,65
2,7,54.8,230,0.2,2,2.74,0.35,0.014,230,25,65.8
2,7,54.9,230,0.2,2,2.74,0.35,0.014,230,25,68.1
2,7,56.2,230,0.2,2,2.74,0.35,0.014,230,25,67.9
2,7,56.3,230,0.2,2,2.74,0.35,0.014,230,25,64
2,7,56.3,230,0.2,2,2.74,0.35,0.014,230,25,66.9
2,7,57.2,230,0.2,2,2.74,0.35,0.014,230,25,60.2
2,7,57.6,230,0.2,2,2.74,0.35,0.014,230,25,65.2
2,7,58.4,230,0.2,2,2.74,0.35,0.014,230,25,60.2
2,7,59.4,230,0.2,2,2.74,0.35,0.014,230,25,61.9
2,7,59.9,230,0.2,2,2.74,0.35,0.014,230,25,64.8
2,7,60.5,230,0.2,2,2.74,0.35,0.014,230,25,61.2
2,7,61.2,230,0.2,2,2.74,0.35,0.014,230,25,66
2,7,62.6,230,0.2,2,2.74,0.35,0.014,230,25,69
2,7,62.3,230,0.2,2,2.74,0.35,0.014,230,25,60
2,7,63.2,230,0.2,2,2.74,0.35,0.014,230,25,63.1
2,7,63.6,230,0.2,2,2.74,0.35,0.014,230,25,61.9
2,7,64,230,0.2,2,2.74,0.35,0.014,230,25,69.8
2,7,64.3,230,0.2,2,2.74,0.35,0.014,230,25,65
2,7,64.5,230,0.2,2,2.74,0.35,0.014,230,25,63.1
2,7,65.3,230,0.2,2,2.74,0.35,0.014,230,25,61.9
2,7,66.2,230,0.2,2,2.74,0.35,0.014,230,25,62.9
2,7,67.7,230,0.2,2,2.74,0.35,0.014,230,25,67.9
2,7,67.8,230,0.2,2,2.74,0.35,0.014,230,25,66
2,7,67.6,230,0.2,2,2.74,0.35,0.014,230,25,70
2,7,67.7,230,0.2,2,2.74,0.35,0.014,230,25,63.1
2,7,68.2,230,0.2,2,2.74,0.35,0.014,230,25,62.3
2,7,68.4,230,0.2,2,2.74,0.35,0.014,230,25,70
2,7,69.3,230,0.2,2,2.74,0.35,0.014,230,25,63.1
2,7,70.3,230,0.2,2,2.74,0.35,0.014,230,25,60.6
2,7,70.9,230,0.2,2,2.74,0.35,0.014,230,25,63.1
2,7,71.4,230,0.2,2,2.74,0.35,0.014,230,25,62.9
2,7,72.5,230,0.2,2,2.74,0.35,0.014,230,25,69.8
2,7,73.6,230,0.2,2,2.74,0.35,0.014,230,25,61.9
2,7,74.6,230,0.2,2,2.74,0.35,0.014,230,25,66.9
2,7,75,230,0.2,2,2.74,0.35,0.014,230,25,62.9
2,7,75.4,230,0.2,2,2.74,0.35,0.014,230,25,58.8
2,7,76,230,0.2,2,2.74,0.35,0.014,230,25,60.4
2,7,76.5,230,0.2,2,2.74,0.35,0.014,230,25,61.7
2,7,77.3,230,0.2,2,2.74,0.35,0.014,230,25,66
2,7,77.8,230,0.2,2,2.74,0.35,0.014,230,25,70
2,7,78.9,230,0.2,2,2.74,0.35,0.014,230,25,66
2,7,79.6,230,0.2,2,2.74,0.35,0.014,230,25,61.9
2,7,79.9,230,0.2,2,2.74,0.35,0.014,230,25,61.5
2,7,79.9,230,0.2,2,2.74,0.35,0.014,230,25,63.8
2,7,80,230,0.2,2,2.74,0.35,0.014,230,25,66
2,7,50.2,230,0.2,2,2.74,0.35,0.014,230,-196,76.6
2,7,50.6,230,0.2,2,2.74,0.35,0.014,230,-196,81.7
2,7,51.6,230,0.2,2,2.74,0.35,0.014,230,-196,84.5
2,7,51.8,230,0.2,2,2.74,0.35,0.014,230,-196,76.2
2,7,52,230,0.2,2,2.74,0.35,0.014,230,-196,88.3
2,7,53.6,230,0.2,2,2.74,0.35,0.014,230,-196,96.6
