model,label,r2,mse,rmse,mae,seed
random_forest__hyperimpute,Compressive strength,0.7448333853098537,86.1320248481095,9.280734068386481,7.00553029073083,40
ridge__hyperimpute,Compressive strength,0.022208648200757186,330.055517300756,18.167430123733954,13.178812392583039,40
multitask_lasso__hyperimpute,Compressive strength,-0.013154032942984673,341.9922643343254,18.49303285927772,13.45602946608117,40
multitask_elasticnet__hyperimpute,Compressive strength,0.00298487693921734,336.54454152512,18.345150354388487,13.331749219814824,40
multioutput_gp__hyperimpute,Compressive strength,-0.030801639339887332,347.94925080974446,18.653397835508265,14.308486433610659,40
multioutput_svr__hyperimpute,Compressive strength,0.38698001773383983,206.92617805449734,14.384928851214292,10.088008158745632,40
gbdt__hyperimpute,Compressive strength,0.6911006156491785,104.26963370885728,10.211250349925677,8.265473540146871,40
multitask_gp__hyperimpute,Compressive strength,0.2003280166872794,269.9309516672756,16.42957551695343,10.711057489361703,40
random_forest__knn_based_method_matimputer,Compressive strength,0.572755334150872,144.21733117330257,12.009052051402833,9.469852905808843,40
ridge__knn_based_method_matimputer,Compressive strength,-0.12580983354320963,380.0194656136351,19.49408796567911,14.614600083529368,40
multitask_lasso__knn_based_method_matimputer,Compressive strength,-0.16952270971591243,394.77483845604854,19.86894155349118,14.91136259541686,40
multitask_elasticnet__knn_based_method_matimputer,Compressive strength,-0.14960063265296863,388.0500996468782,19.69898727465141,14.775814545777429,40
multioutput_gp__knn_based_method_matimputer,Compressive strength,-0.026740374223366503,346.578362269503,18.61661522053628,14.249779034644627,40
multioutput_svr__knn_based_method_matimputer,Compressive strength,0.35936481293618705,216.24774823210615,14.705364607248137,11.362499238281337,40
gbdt__knn_based_method_matimputer,Compressive strength,0.5918612003900523,137.76810603600924,11.737465912027572,10.234685186095373,40
multitask_gp__knn_based_method_matimputer,Compressive strength,0.19206059776021533,272.7216362296755,16.51428582257421,10.923710999999999,40
random_forest__gain,Compressive strength,0.47273930639718864,177.97795067342923,13.340837705085436,12.0511997346342,40
ridge__gain,Compressive strength,-1.0079707506633473,677.7947295355611,26.034491151846257,21.34474714815494,40
multitask_lasso__gain,Compressive strength,-1.0481703435254657,691.3641862432437,26.293805092516443,21.434656548501437,40
multitask_elasticnet__gain,Compressive strength,-1.0294190128082228,685.0346353134173,26.17316632189192,21.393911650625064,40
multioutput_gp__gain,Compressive strength,-0.7164865931817064,579.4036421061738,24.07080476648369,19.53391026694883,40
multioutput_svr__gain,Compressive strength,-0.35403257121014087,457.0565283794749,21.378880428578924,17.8692793280892,40
gbdt__gain,Compressive strength,0.5476113407059351,152.7047387865981,12.357375885947555,9.845091483101811,40
multitask_gp__gain,Compressive strength,-0.74278746940484,588.281557922586,24.254516237653267,20.536217531914893,40
random_forest__sinkhorn,Compressive strength,0.6416595467828291,120.95856998402252,10.998116656229035,8.999650129386971,40
ridge__sinkhorn,Compressive strength,-0.05933174939510022,357.5796491719241,18.909776550026287,13.335461191638249,40
multitask_lasso__sinkhorn,Compressive strength,-0.09238430522984498,368.7366085723879,19.202515683430335,13.544520341358727,40
multitask_elasticnet__sinkhorn,Compressive strength,-0.0774151321565455,363.6837328712671,19.070493776283485,13.451214099075006,40
multioutput_gp__sinkhorn,Compressive strength,-0.0015553897760007818,338.0771180575441,18.386873525902768,13.977218446618581,40
multioutput_svr__sinkhorn,Compressive strength,0.28581906360826503,241.0732698477677,15.526534379821136,10.755425294738663,40
gbdt__sinkhorn,Compressive strength,0.634719461031064,123.30121045501406,11.104107818956644,9.529698892894702,40
multitask_gp__sinkhorn,Compressive strength,0.08800021846435446,307.8474350576242,17.545581639194072,11.848997957446807,40
random_forest__mice_iterativeimputer,Compressive strength,0.698379937574239,101.81248335755426,10.090217210623083,7.387696905442015,40
ridge__mice_iterativeimputer,Compressive strength,0.009537711750850164,334.3326184194799,18.284764653106144,13.106738268900632,40
multitask_lasso__mice_iterativeimputer,Compressive strength,-0.005659371115942058,339.46242554840546,18.42450611409721,13.167247630247354,40
multitask_elasticnet__mice_iterativeimputer,Compressive strength,0.0012269008385834557,337.13795003730354,18.361316674936564,13.138800953474908,40
multioutput_gp__mice_iterativeimputer,Compressive strength,-0.00919222599387215,340.6549481066569,18.456840144148643,14.064767175432246,40
multioutput_svr__mice_iterativeimputer,Compressive strength,0.2829794075884977,242.03180168059265,15.557371297253038,10.433701322090988,40
gbdt__mice_iterativeimputer,Compressive strength,0.4335527249443518,191.2054632596929,13.827706362940056,11.107384108497012,40
multitask_gp__mice_iterativeimputer,Compressive strength,-0.18357766294611833,399.5191173356862,19.987974317966444,15.680811170212765,40
random_forest__knn插补,Compressive strength,0.6246281634981681,126.70754905815983,11.25644477879938,8.761798790948978,40
ridge__knn插补,Compressive strength,-0.1021730824773186,372.04083082001944,19.288359982642884,13.911473410881518,40
multitask_lasso__knn插补,Compressive strength,-0.1452373958862978,386.57727994410703,19.66156860334666,14.21560907592574,40
multitask_elasticnet__knn插补,Compressive strength,-0.12556142313097118,379.9356141590651,19.491937157683047,14.079066467628481,40
multioutput_gp__knn插补,Compressive strength,-0.012410583103686257,341.7413112850422,18.486246543986212,14.05653604775754,40
multioutput_svr__knn插补,Compressive strength,0.32567959060092166,227.61826553398112,15.087023083895017,10.628342020856385,40
gbdt__knn插补,Compressive strength,0.6080004310318545,132.3202749537295,11.503055026979984,9.82568625415234,40
multitask_gp__knn插补,Compressive strength,0.13108851170133484,293.3028914924054,17.126088038206664,11.229997595744681,40
random_forest__mida,Compressive strength,0.5351277039714989,156.91861649434966,12.526716109753172,11.013349225546149,40
ridge__mida,Compressive strength,-0.560846264493768,526.8669234049593,22.95358192973287,17.473942810446008,40
multitask_lasso__mida,Compressive strength,-0.5908915375900012,537.0087682228461,23.173449640112846,17.588701291082288,40
multitask_elasticnet__mida,Compressive strength,-0.5772788434088343,532.4137748108523,23.074093152513107,17.53779860890043,40
multioutput_gp__mida,Compressive strength,-0.31598338095897716,444.2129445738767,21.076359851119374,16.380060797667547,40
