model,label,r2,mse,rmse,mae,seed
random_forest__hyperimpute,Flexural strength,0.3778231304808509,16.755191908033837,4.093310629311418,2.8214446651637677,40
ridge__hyperimpute,Flexural strength,0.12307419367020234,23.615568006439457,4.859585168143414,3.770292460611249,40
multitask_lasso__hyperimpute,Flexural strength,0.11434494589065414,23.85064621156808,4.883712339150216,3.7898406654578563,40
multitask_elasticnet__hyperimpute,Flexural strength,0.11862787974197841,23.73530701764431,4.871889471000374,3.7764506846075623,40
multioutput_gp__hyperimpute,Flexural strength,-0.5786078478267553,42.511830210447094,6.520109677792782,5.739117493033712,40
multioutput_svr__hyperimpute,Flexural strength,0.37715984124565094,16.773054253888798,4.095491942842617,2.97833780635598,40
gbdt__hyperimpute,Flexural strength,0.45326790784752047,14.723467835400932,3.8371171255776035,2.90671735039767,40
multitask_gp__hyperimpute,Flexural strength,0.23099743468724643,20.709200535763326,4.550736263041765,3.4893291846808503,40
random_forest__knn_based_method_matimputer,Flexural strength,0.22105609994825337,20.976920181951016,4.5800567880705385,3.420595330448619,40
ridge__knn_based_method_matimputer,Flexural strength,0.005457807262569614,26.782971396591837,5.175226700019221,4.012399830248132,40
multitask_lasso__knn_based_method_matimputer,Flexural strength,0.0018631318985279366,26.879775823953704,5.184570939234384,4.004441850671605,40
multitask_elasticnet__knn_based_method_matimputer,Flexural strength,0.0035833340784693357,26.833450865477168,5.180101433898487,4.008364592169762,40
multioutput_gp__knn_based_method_matimputer,Flexural strength,-0.17772507456100062,31.71607722161663,5.631702870501659,4.740718037430966,40
multioutput_svr__knn_based_method_matimputer,Flexural strength,0.4908727322736307,13.710771798638348,3.7028059358597702,2.703832035002637,40
gbdt__knn_based_method_matimputer,Flexural strength,0.3839240916396238,16.59089332985348,4.073192032037463,2.9702095078899733,40
multitask_gp__knn_based_method_matimputer,Flexural strength,0.3005673091101282,18.83568730491294,4.340010058158039,3.2659524680851058,40
random_forest__gain,Flexural strength,0.7393556478327012,7.019139338438287,2.6493658370331357,2.1265524594358256,40
ridge__gain,Flexural strength,-0.26406017711313945,34.04107720559039,5.834473172925761,4.527017011615177,40
multitask_lasso__gain,Flexural strength,-0.26196485781265433,33.98465036186126,5.829635525644915,4.52650495818724,40
multitask_elasticnet__gain,Flexural strength,-0.262924351946906,34.0104894907997,5.831851291896913,4.526755944807139,40
multioutput_gp__gain,Flexural strength,-0.025398329056559588,27.613925600927697,5.254895393909159,4.18544875396311,40
multioutput_svr__gain,Flexural strength,0.18943723806342605,21.82841454753767,4.672088884807059,3.454207480829322,40
gbdt__gain,Flexural strength,0.21913328525716547,21.028701485196287,4.5857062144446505,3.4417164402396057,40
multitask_gp__gain,Flexural strength,0.1111531380237083,23.93660143742786,4.892504618028261,3.5841409846808507,40
random_forest__sinkhorn,Flexural strength,0.6653300214716169,9.01264574562915,3.0021068844445145,2.5408700053821773,40
ridge__sinkhorn,Flexural strength,0.00191590521327889,26.878354641232853,5.18443387856696,4.033173912730835,40
multitask_lasso__sinkhorn,Flexural strength,0.0039780189168502345,26.8228220225641,5.17907540228602,4.027019526332808,40
multitask_elasticnet__sinkhorn,Flexural strength,0.003015569866697043,26.848740727239644,5.18157705020775,4.0299286031102195,40
multioutput_gp__sinkhorn,Flexural strength,-0.08525584734916047,29.22588556804491,5.406097073494418,4.432925611244246,40
multioutput_svr__sinkhorn,Flexural strength,0.1783575413828875,22.126790223748042,4.703912225344776,3.375609744134744,40
gbdt__sinkhorn,Flexural strength,0.5578956460197422,11.905848091140836,3.4504851964819143,2.7902214241330223,40
multitask_gp__sinkhorn,Flexural strength,0.24150781686518175,20.426156470569794,4.519530558649847,3.1654893719148944,40
random_forest__mice_iterativeimputer,Flexural strength,0.6466341620880374,9.516124301653884,3.084821599647844,2.6351932094773356,40
ridge__mice_iterativeimputer,Flexural strength,-0.44908150467290153,39.0236922821343,6.246894611095524,4.703695988094742,40
multitask_lasso__mice_iterativeimputer,Flexural strength,-0.45304989987440103,39.130560965985296,6.2554425076076985,4.717242796234546,40
multitask_elasticnet__mice_iterativeimputer,Flexural strength,-0.4514309779804293,39.086963480533,6.251956772126068,4.711501362049887,40
multioutput_gp__mice_iterativeimputer,Flexural strength,-0.9141958478496834,51.5491982289063,7.179777031977128,6.434741392302901,40
multioutput_svr__mice_iterativeimputer,Flexural strength,0.4218765889609829,15.568834479449785,3.945736240481589,2.828743064229353,40
gbdt__mice_iterativeimputer,Flexural strength,0.3601332415025633,17.231579731470752,4.151093799406459,3.5420492680231903,40
multitask_gp__mice_iterativeimputer,Flexural strength,0.06414830555093298,25.202439219689055,5.020203105422036,3.7300915812765956,40
random_forest__knn插补,Flexural strength,0.29194696983841784,19.067832609384798,4.366672945090438,3.632246169129109,40
ridge__knn插补,Flexural strength,-0.08950559859287366,29.340331156009064,5.416671593885775,4.222737368968716,40
multitask_lasso__knn插补,Flexural strength,-0.10078857347231707,29.644181103926137,5.444647013712288,4.253752123067878,40
multitask_elasticnet__knn插补,Flexural strength,-0.09528836152295161,29.49606067184112,5.4310275889412605,4.237656567113931,40
multioutput_gp__knn插补,Flexural strength,-0.025359140208755182,27.612870247220762,5.254794976706585,4.185272206770411,40
multioutput_svr__knn插补,Flexural strength,0.4260395210417711,15.456726927191173,3.931504410170638,2.765911633190715,40
gbdt__knn插补,Flexural strength,0.5373162767095914,12.460049475072656,3.529879526991347,2.9514376047744126,40
multitask_gp__knn插补,Flexural strength,0.22048028049886248,20.992426970858773,4.581749335227624,3.481274058297872,40
random_forest__mida,Flexural strength,-0.7572237861990736,47.32194847725872,6.879095033306251,5.3305258285736725,40
ridge__mida,Flexural strength,-2.334992189306493,89.8111724834933,9.476875670994808,8.0806468205985,40
multitask_lasso__mida,Flexural strength,-2.3297046950150655,89.66878052727357,9.46936009069639,8.063115187727197,40
multitask_elasticnet__mida,Flexural strength,-2.3318502844761673,89.72656114390819,9.472410524460402,8.069502122889629,40
multioutput_gp__mida,Flexural strength,-1.4485432430154361,65.9391467952675,8.120292285088482,6.304407930374995,40
multioutput_svr__mida,Flexural strength,-1.2673683394581725,61.06011572429959,7.8140972430793045,6.566664364512983,40
gbdt__mida,Flexural strength,0.43676611457822334,15.167860300950899,3.894593727329065,2.867632346856795,40
multitask_gp__mida,Flexural strength,-0.9281016985253498,51.923682090537675,7.205808912990801,5.949196918723405,40
random_forest__miwae,Flexural strength,-0.4845666588361781,39.97930570497236,6.322919081007787,4.97980976775887,40
ridge__miwae,Flexural strength,-2.1891090207013524,85.88254606570268,9.267283640080446,7.954453805106384,40
multitask_lasso__miwae,Flexural strength,-2.174379956057154,85.48589309316434,9.245858158827895,7.930477019999999,40
multitask_elasticnet__miwae,Flexural strength,-2.180443784066441,85.64919167749042,9.254684850252353,7.940768496595744,40
multioutput_gp__miwae,Flexural strength,-3.811336071968724,129.56903923828776,11.382839682534748,10.131095171090868,40
multioutput_svr__miwae,Flexural strength,-1.1938895478404805,59.08133554933687,7.686438417715768,6.515521366288744,40
gbdt__miwae,Flexural strength,0.05389132723296708,25.47865913163609,5.04763896605493,4.051650786029595,40
multitask_gp__miwae,Flexural strength,-1.437338559752472,65.63740523665766,8.10169150465862,6.913740966382978,40
random_forest__softimpute,Flexural strength,0.6298981279760741,9.966824861354961,3.157027852483244,2.6863224427518593,40
ridge__softimpute,Flexural strength,0.029866318069334374,26.12565142410116,5.111325799056558,3.528825587065485,40
multitask_lasso__softimpute,Flexural strength,0.02702300775905353,26.202221628229236,5.118810567722665,3.5274849193007487,40
multitask_elasticnet__softimpute,Flexural strength,0.028081255278257222,26.17372307558429,5.116026101925623,3.5288299270600207,40
multioutput_gp__softimpute,Flexural strength,-0.006704621033708502,27.11050498093954,5.206774911683771,4.074226705015082,40
multioutput_svr__softimpute,Flexural strength,0.23572041897955642,20.5820108055224,4.536740107778095,3.6240632932712447,40
gbdt__softimpute,Flexural strength,0.36786570753100845,17.023344808933242,4.12593562830702,3.626700157069126,40
multitask_gp__softimpute,Flexural strength,0.19747529291109334,21.611950133416883,4.648865467338981,3.1622924697872334,40
random_forest__低秩矩阵,Flexural strength,-0.6596247113388436,44.69361028366186,6.685327986244345,5.21342785121997,40
