model,label,r2,mse,rmse,mae,seed
random_forest__hyperimpute,Flowability,0.1878964243402651,9.865715172545151,3.1409736026501642,2.767181178570551,40
ridge__hyperimpute,Flowability,-0.14301235618685482,13.885709511472536,3.726353379843696,3.332767640490513,40
multitask_lasso__hyperimpute,Flowability,-0.11914047458980215,13.595705635701,3.6872355004394555,3.299360506430061,40
multitask_elasticnet__hyperimpute,Flowability,-0.12994821738277373,13.727001833931583,3.7049968736736583,3.3146510010797186,40
multioutput_gp__hyperimpute,Flowability,-0.022373311723665523,12.420144666009378,3.524222561928996,3.1036835995588685,40
multioutput_svr__hyperimpute,Flowability,-0.0674935497998983,12.96828092685014,3.6011499450661786,3.162043220357162,40
gbdt__hyperimpute,Flowability,0.16285401810939748,10.169938986494255,3.189034177693029,2.8267437949277343,40
multitask_gp__hyperimpute,Flowability,-0.15473470344284523,14.028116641113993,3.745412746429156,3.2982813187234044,40
random_forest__knn_based_method_matimputer,Flowability,0.2056766712598459,9.64971458214804,3.1063989734333934,2.700109232517375,40
ridge__knn_based_method_matimputer,Flowability,0.3634295444913903,7.733278105817174,2.780877218759788,2.4442167990892627,40
multitask_lasso__knn_based_method_matimputer,Flowability,0.38789868424791174,7.436018531311634,2.7269064031080408,2.386783838080783,40
multitask_elasticnet__knn_based_method_matimputer,Flowability,0.3769693883452536,7.568791398768219,2.751143652877512,2.4126547072964044,40
multioutput_gp__knn_based_method_matimputer,Flowability,-0.028432180172945687,12.49374989590873,3.5346498972187796,3.0732875231401082,40
multioutput_svr__knn_based_method_matimputer,Flowability,0.15099847554824508,10.313964218779802,3.211536115129301,2.874995625422557,40
gbdt__knn_based_method_matimputer,Flowability,0.3165083205866124,8.303293365527978,2.8815435734217134,2.5537062018355643,40
multitask_gp__knn_based_method_matimputer,Flowability,0.14049381135462435,10.441578513339833,3.231343143855173,2.8366023511914893,40
random_forest__gain,Flowability,-0.05803929647954087,12.85342738695289,3.585167693003061,3.1820561394881395,40
ridge__gain,Flowability,-0.2794858716588067,15.54363698845528,3.942541945047038,3.505138479598914,40
multitask_lasso__gain,Flowability,-0.2681579356372499,15.406021302930558,3.925050484125084,3.4931130286046943,40
multitask_elasticnet__gain,Flowability,-0.27316370751567454,15.4668331513837,3.932789487295716,3.498475938234039,40
multioutput_gp__gain,Flowability,-0.40835916695154606,17.109234361515227,4.136331026588083,3.570307060531906,40
multioutput_svr__gain,Flowability,0.029074660675945774,11.79513689962048,3.434404882890263,3.0443726504480257,40
gbdt__gain,Flowability,0.054469914584374446,11.486626570021835,3.3891926132962458,3.03372835827494,40
multitask_gp__gain,Flowability,0.17041123459169372,10.078131306358099,3.1746072680503485,2.889427642170213,40
random_forest__sinkhorn,Flowability,-0.018333041461919386,12.3710620651969,3.5172520616522354,3.056088305146019,40
ridge__sinkhorn,Flowability,0.12691335100676548,10.606558643608532,3.2567711991493247,2.8251831969215617,40
multitask_lasso__sinkhorn,Flowability,0.1370097807717645,10.483903722110165,3.2378856870047414,2.8067038024482693,40
multitask_elasticnet__sinkhorn,Flowability,0.13245458280075417,10.539241842866543,3.2464198500604544,2.8150820089533015,40
multioutput_gp__sinkhorn,Flowability,-0.04031620362545829,12.63812112391507,3.5550135195122774,3.075673238508436,40
multioutput_svr__sinkhorn,Flowability,-0.002401189598676412,12.177516417369594,3.4896298395918146,3.027447554562958,40
gbdt__sinkhorn,Flowability,-0.016339034654448525,12.346838180702067,3.5138067933086568,3.053403225949639,40
multitask_gp__sinkhorn,Flowability,-0.07847462341097877,13.101682807820387,3.619624677756022,3.1333879340851056,40
random_forest__mice_iterativeimputer,Flowability,0.015818545550368324,11.956176771926387,3.4577704915055287,3.0220706395506975,40
ridge__mice_iterativeimputer,Flowability,0.4606328081115768,6.5524192333026345,2.559769371115811,2.354084868943612,40
multitask_lasso__mice_iterativeimputer,Flowability,0.4629910314378979,6.523770720541396,2.554167324303832,2.348779186291425,40
multitask_elasticnet__mice_iterativeimputer,Flowability,0.4619308707295122,6.536649919574057,2.556687294053392,2.3511856029943425,40
multioutput_gp__mice_iterativeimputer,Flowability,-0.12090241777534305,13.617110331037592,3.6901368986851413,3.1302010443507617,40
multioutput_svr__mice_iterativeimputer,Flowability,0.27609903134544456,8.794199390236079,2.965501541094875,2.6885352997456065,40
gbdt__mice_iterativeimputer,Flowability,0.30219504818933307,8.477175950078715,2.9115590239730182,2.604905815331985,40
multitask_gp__mice_iterativeimputer,Flowability,0.36442983173765986,7.721126270314655,2.778691467276397,2.566220340042553,40
random_forest__knn插补,Flowability,0.13476916276474182,10.511123524768717,3.2420862919991373,2.805039188924516,40
ridge__knn插补,Flowability,0.32508446749660624,8.199107366071976,2.8634083477687873,2.5316104313135894,40
multitask_lasso__knn插补,Flowability,0.34607490892598036,7.9441082222497545,2.8185294432114336,2.4789861771704182,40
multitask_elasticnet__knn插补,Flowability,0.33685580788085157,8.056105050960015,2.838327861780597,2.501470347873926,40
multioutput_gp__knn插补,Flowability,-0.0398467188578695,12.632417660546968,3.5542112571633906,3.0755862859596466,40
multioutput_svr__knn插补,Flowability,0.14587031089639746,10.376262936984487,3.2212207215564237,2.867479298784335,40
gbdt__knn插补,Flowability,0.1569894986544309,10.241183197578472,3.2001848692815344,2.8773797125176506,40
multitask_gp__knn插补,Flowability,0.19289684550442587,9.80496832641989,3.1312886047791717,2.7988773995319147,40
random_forest__mida,Flowability,-3.2941128296721454,52.16636814078956,7.222628894023945,6.326803968346914,40
ridge__mida,Flowability,-3.0946089179292047,49.742725605457196,7.052852302824524,6.165497361100808,40
multitask_lasso__mida,Flowability,-3.0964315916443548,49.76486807627632,7.0544218810811365,6.180265370183716,40
multitask_elasticnet__mida,Flowability,-3.0958429347369245,49.75771686852755,7.053915002927633,6.173871498114953,40
multioutput_gp__mida,Flowability,-1.7850141630040866,33.83331548735213,5.816641254826718,4.658429838395179,40
multioutput_svr__mida,Flowability,-3.2149884541913867,51.20513785552143,7.155776537561904,6.2745760349571045,40
gbdt__mida,Flowability,-3.562766509943617,55.43006598556407,7.445137069629012,6.547871121525007,40
multitask_gp__mida,Flowability,-2.702315513250808,44.977009617221405,6.7064901116173585,5.916410206617022,40
random_forest__miwae,Flowability,-1.7682329645635106,33.62945168348428,5.79909059107411,4.77109271982358,40
ridge__miwae,Flowability,-1.116139249956864,25.707591656098245,5.07026544237067,3.9576623884680844,40
multitask_lasso__miwae,Flowability,-1.1071154386711228,25.597967274942675,5.0594433759992485,3.9586438393191483,40
multitask_elasticnet__miwae,Flowability,-1.1111402872442673,25.646862527747114,5.064273149006391,3.9581856357021277,40
multioutput_gp__miwae,Flowability,-1.5112801758291243,30.507900316855668,5.523395723362184,4.324032533407089,40
multioutput_svr__miwae,Flowability,-1.847193894710737,34.58869637829912,5.88121555278321,4.797932569741519,40
gbdt__miwae,Flowability,-1.8200311815863994,34.25871434271879,5.853094424551751,4.7978804367354035,40
multitask_gp__miwae,Flowability,-1.4243550029312497,29.4519032459919,5.426960774318522,4.403099933361702,40
random_forest__softimpute,Flowability,-0.7062076397616774,20.727600645563605,4.552757477130053,3.7355309326804553,40
ridge__softimpute,Flowability,-0.36678613030865304,16.604190730789465,4.07482401224758,3.1836518217782825,40
multitask_lasso__softimpute,Flowability,-0.3573297139923417,16.489310914069108,4.060703253633428,3.166197844244705,40
multitask_elasticnet__softimpute,Flowability,-0.36153816920066584,16.540436683793754,4.066993568201671,3.174055161912415,40
multioutput_gp__softimpute,Flowability,-0.45212436563608494,17.640909135069503,4.200108228970952,3.3986511948366522,40
multioutput_svr__softimpute,Flowability,-0.6685901507537872,20.27061037587208,4.502289459360879,3.6748084519901756,40
gbdt__softimpute,Flowability,-0.6199002056059628,19.679108078637338,4.436114074123584,3.656727582141918,40
multitask_gp__softimpute,Flowability,-0.7311274322558377,21.030334905422748,4.585884310078346,3.7382453557021282,40
random_forest__低秩矩阵,Flowability,-2.4093810020377413,41.418339838567775,6.435708184696365,5.487167329940528,40
ridge__低秩矩阵,Flowability,-1.7386891932189799,33.27054372895254,5.7680623894816305,4.857337938355451,40
multitask_lasso__低秩矩阵,Flowability,-1.7362062703976995,33.24038032358855,5.765447105263264,4.868132191856619,40
multitask_elasticnet__低秩矩阵,Flowability,-1.737356717179797,33.25435634907783,5.766659028335023,4.863390226606285,40
multioutput_gp__低秩矩阵,Flowability,-1.8207714426665427,34.26770729040293,5.85386259579117,4.7031225111551915,40
multioutput_svr__低秩矩阵,Flowability,-2.592235531614858,43.63971991973789,6.6060366271871285,5.664086225177494,40
gbdt__低秩矩阵,Flowability,-2.495323850512751,42.46240329252172,6.516318231372814,5.58198996727431,40
multitask_gp__低秩矩阵,Flowability,-2.2546406274585573,39.53850023799591,6.287964713482091,5.392691977340425,40
random_forest__vae,Flowability,-0.032197484849950886,12.539492119677423,3.541114530720155,3.0715954896761004,40
ridge__vae,Flowability,0.11450949793304954,10.757244941680755,3.2798239193104184,2.8431935106808512,40
multitask_lasso__vae,Flowability,0.12238179250933601,10.661609583862115,3.265212027397626,2.828783548978723,40
multitask_elasticnet__vae,Flowability,0.11882858970708543,10.704775120682731,3.27181526383791,2.8353141787659575,40
multioutput_gp__vae,Flowability,-0.03401232493123274,12.56153942480239,3.544226209598139,3.074459661509111,40
multioutput_svr__vae,Flowability,-0.041056350903524885,12.647112689092216,3.5562779263005044,3.077849724428894,40
gbdt__vae,Flowability,-0.0023695886976438096,12.177132518691975,3.4895748335136725,3.0259975647596375,40
multitask_gp__vae,Flowability,-0.04178424267186909,12.655955370097644,3.557520958490286,3.08495532131915,40
random_forest__vanilla,Flowability,-0.021394226092362967,12.408250395059868,3.5225346549125485,3.0657262687666025,40
ridge__vanilla,Flowability,0.1181907131697465,10.712524265522443,3.272999276737232,2.8429807936595752,40
multitask_lasso__vanilla,Flowability,0.12609288726142598,10.616525921014425,3.2583010789389037,2.8286123979148936,40
multitask_elasticnet__vanilla,Flowability,0.12252599625744531,10.659857746844892,3.2649437586036445,2.8351244340851065,40
multioutput_gp__vanilla,Flowability,-0.027502417574459148,12.482454818224454,3.533051771234672,3.0730813687760605,40
multioutput_svr__vanilla,Flowability,-0.027589166768284823,12.483508677440673,3.5332009109928455,3.0662331150178037,40
gbdt__vanilla,Flowability,-0.028311986198592543,12.492289737928928,3.534443342017089,3.0730990692204148,40
multitask_gp__vanilla,Flowability,-0.03381470583460122,12.559138679653055,3.5438875094524454,3.081713487276595,40
random_forest__vae_miwae,Flowability,0.08031903818163166,11.172602474433681,3.3425443115138624,2.9328180725202326,40
ridge__vae_miwae,Flowability,0.2944303330004997,8.571504396283048,2.9277131683761386,2.5747102252340426,40
multitask_lasso__vae_miwae,Flowability,0.30330360817930746,8.463708779830288,2.9092453969767296,2.555609265659574,40
multitask_elasticnet__vae_miwae,Flowability,0.2993232370511215,8.512063705247039,2.9175441222451184,2.5642451358723406,40
multioutput_gp__vae_miwae,Flowability,-0.07279737010486942,13.03271357069449,3.6100849810904023,3.090684197613411,40
multioutput_svr__vae_miwae,Flowability,0.05453320067679268,11.485857748678235,3.3890791889063667,2.961000730008727,40
gbdt__vae_miwae,Flowability,0.12044243599438187,10.685169557697982,3.2688177614694247,2.8598282441771086,40
multitask_gp__vae_miwae,Flowability,0.00362190413347363,12.104345791109683,3.479130033659231,3.0226553851489366,40
random_forest__h_vae,Flowability,-0.023686587646291946,12.436098796226165,3.5264853319170584,3.0655348554925546,40
ridge__h_vae,Flowability,0.11705813856146674,10.726283173661553,3.2751004829869803,2.843658312808511,40
multitask_lasso__h_vae,Flowability,0.12497185939202626,10.630144555375194,3.26039024587168,2.8292512979148943,40
multitask_elasticnet__h_vae,Flowability,0.12139940755102163,10.673543936177518,3.2670390166292043,2.835781559617021,40
multioutput_gp__h_vae,Flowability,-0.028964815863889992,12.500220538539898,3.535565094654587,3.0734041063683923,40
multioutput_svr__h_vae,Flowability,-0.02420120613908705,12.44235055970143,3.527371622001491,3.0575517295266836,40
gbdt__h_vae,Flowability,0.02436462097177039,11.852356091316592,3.4427250966809115,2.9944553272071435,40
multitask_gp__h_vae,Flowability,-0.03655601530931052,12.592441055467999,3.5485829644335496,3.082907155361702,40
random_forest__hver,Flowability,-0.029951265590511644,12.512204271066846,3.5372594294265225,3.070198752340678,40
