model,label,r2,mse,rmse,mae,seed
random_forest__hyperimpute,Porosity,-0.24467240030293302,13.27644775517043,3.643686012154509,3.0056076907773384,40
ridge__hyperimpute,Porosity,-0.6409298336876577,17.503175294601537,4.183679635751468,3.511598007523169,40
multitask_lasso__hyperimpute,Porosity,-0.718434284693708,18.329885836527712,4.281341593067261,3.627815440226395,40
multitask_elasticnet__hyperimpute,Porosity,-0.6829033229049424,17.95089056213688,4.236849131387248,3.575089685609711,40
multioutput_gp__hyperimpute,Porosity,-0.29343110596531163,13.796538349433424,3.714369172475109,3.199204725416298,40
multioutput_svr__hyperimpute,Porosity,-2.438698727529283,36.6792932748426,6.0563432263076535,5.674885024454447,40
gbdt__hyperimpute,Porosity,-1.4872454822032388,26.53050287828188,5.150776919871592,4.813743827352499,40
multitask_gp__hyperimpute,Porosity,-1.226977073612853,23.754318616358336,4.873840232953716,4.601708919148936,40
random_forest__knn_based_method_matimputer,Porosity,-0.9799066053344043,21.11891177103424,4.595531717988055,3.213455149814248,40
ridge__knn_based_method_matimputer,Porosity,-0.9701668756621928,21.015021773866213,4.584214411855777,3.25701962284817,40
multitask_lasso__knn_based_method_matimputer,Porosity,-0.9938650331201535,21.267801018676206,4.611702616027643,3.2833071373742273,40
multitask_elasticnet__knn_based_method_matimputer,Porosity,-0.9831584178205539,21.15359761975353,4.599304036455247,3.2714683931897826,40
multioutput_gp__knn_based_method_matimputer,Porosity,-0.08549811392705275,11.578596098363727,3.4027336214231827,2.66803529516812,40
multioutput_svr__knn_based_method_matimputer,Porosity,-1.0297520986961883,21.650594716914103,4.653019956642578,3.3679855633069735,40
gbdt__knn_based_method_matimputer,Porosity,-0.9280027221418297,20.565272762626112,4.5348950112021456,3.2234996311770225,40
multitask_gp__knn_based_method_matimputer,Porosity,-0.8958986839012628,20.22283118014453,4.496980229014191,3.3412081382978713,40
random_forest__gain,Porosity,-10.113721027537615,118.5458410998193,10.887875876396611,10.39572131432788,40
ridge__gain,Porosity,-7.14365406932605,86.86526491731802,9.32015369601371,8.638062898627599,40
multitask_lasso__gain,Porosity,-7.159624935223068,87.03562007794902,9.329288294288531,8.638379428292088,40
multitask_elasticnet__gain,Porosity,-7.152695810466234,86.96170973591784,9.32532625359123,8.638304714538164,40
multioutput_gp__gain,Porosity,-1.7585914245815393,29.424846985764464,5.424467437985453,4.579006944629901,40
multioutput_svr__gain,Porosity,-10.696720150412348,124.76447131470375,11.169801758075376,10.711455860302182,40
gbdt__gain,Porosity,-11.308597959057987,131.2911395022966,11.458234571795805,10.997921951106727,40
multitask_gp__gain,Porosity,-9.865878268573756,115.90219652307755,10.76578824439147,10.257283414893617,40
random_forest__sinkhorn,Porosity,-0.0690271790459458,11.402906891810575,3.376819049314099,2.092568860279661,40
ridge__sinkhorn,Porosity,-0.08811803250663619,11.606541774781213,3.4068375034305958,2.0604873676804814,40
multitask_lasso__sinkhorn,Porosity,-0.10051877589421432,11.73881579457179,3.42619552777885,2.0689735938809175,40
multitask_elasticnet__sinkhorn,Porosity,-0.09491547152190094,11.67904747502262,3.417462139515611,2.0651940455848634,40
multioutput_gp__sinkhorn,Porosity,-0.000718382800836137,10.674282906618924,3.26715210950132,2.0625097742499943,40
multioutput_svr__sinkhorn,Porosity,-0.07758037730000966,11.494140608997567,3.3903009614188484,2.131347367479065,40
gbdt__sinkhorn,Porosity,-0.05925342305796355,11.298653948855746,3.3613470437989212,2.11137967906797,40
multitask_gp__sinkhorn,Porosity,-0.14415351190458559,12.204250950691064,3.4934583081369475,2.2197910638297866,40
random_forest__mice_iterativeimputer,Porosity,-0.21142522291767496,12.921812741607962,3.594692301381018,2.977747763828824,40
ridge__mice_iterativeimputer,Porosity,-0.4538040382146029,15.507175506514272,3.9379151218016712,3.495887124989756,40
multitask_lasso__mice_iterativeimputer,Porosity,-0.4497021756685653,15.463422496663565,3.9323558456303984,3.489723698308278,40
multitask_elasticnet__mice_iterativeimputer,Porosity,-0.4517663012616997,15.485439740390259,3.935154347721352,3.4928058340484998,40
multioutput_gp__mice_iterativeimputer,Porosity,-0.6422729015600137,17.517501289485523,4.185391414131481,3.8293317801524536,40
multioutput_svr__mice_iterativeimputer,Porosity,-2.085726584981765,32.91427349259134,5.737096259658831,4.422435371605947,40
gbdt__mice_iterativeimputer,Porosity,-1.2579555638922852,24.08475440623271,4.907622072473869,4.145242390820399,40
multitask_gp__mice_iterativeimputer,Porosity,-0.9910550008461723,21.237827471687638,4.608451743447862,3.7915224914893617,40
random_forest__knn插补,Porosity,-3.281476594285686,45.66888468418222,6.757875752348679,5.842423332320162,40
ridge__knn插补,Porosity,-2.550255504167879,37.86922704088181,6.1537977738045475,5.109764456203885,40
multitask_lasso__knn插补,Porosity,-2.5171594633442553,37.516204143619134,6.125047276847677,5.077109002224176,40
multitask_elasticnet__knn插补,Porosity,-2.5318640371414034,37.67305224737107,6.137837750166671,5.092029421659908,40
multioutput_gp__knn插补,Porosity,-0.5343576590215804,16.36641038460216,4.045542038417369,3.658058574417063,40
multioutput_svr__knn插补,Porosity,-3.9939489940722606,53.268557168656976,7.298531165149394,6.341224914724263,40
gbdt__knn插补,Porosity,-4.121694719285514,54.63117230041962,7.391290300104551,6.560139152071408,40
multitask_gp__knn插补,Porosity,-3.478540590672324,47.77089148678788,6.91164897016536,5.8498667765957455,40
random_forest__mida,Porosity,-6.503995130584441,80.0422659665388,8.946634337366136,8.333318765363796,40
ridge__mida,Porosity,-6.051879204555551,75.21971710167917,8.67293013356381,8.039282315806295,40
multitask_lasso__mida,Porosity,-6.065122969303207,75.36098331012985,8.681070401173455,8.046177488349862,40
multitask_elasticnet__mida,Porosity,-6.059653615846012,75.30264379411638,8.677709593787775,8.04336650011705,40
multioutput_gp__mida,Porosity,-6.671595093051907,81.82999111005954,9.045993096949585,8.435838483513553,40
multioutput_svr__mida,Porosity,-6.640890989175772,81.50248209573446,9.02787251215559,8.431623413398738,40
gbdt__mida,Porosity,-6.195541008928869,76.75210300475828,8.760827757966611,8.133122453208104,40
multitask_gp__mida,Porosity,-6.442976677547655,79.39140530340606,8.91018548086436,8.29117354680851,40
random_forest__miwae,Porosity,-5.46465071508319,68.95597383965297,8.303973376622361,7.722838406137173,40
ridge__miwae,Porosity,-4.624622752430301,59.99571461294483,7.745690066930437,7.194970117021275,40
multitask_lasso__miwae,Porosity,-4.626670122466429,60.01755313150886,7.747099659324698,7.194307646808512,40
multitask_elasticnet__miwae,Porosity,-4.6258848608759955,60.00917704437381,7.746559045432611,7.19467559787234,40
multioutput_gp__miwae,Porosity,-4.85384257634374,62.44071541467825,7.901943774456906,7.271646991080425,40
multioutput_svr__miwae,Porosity,-6.333948426315956,78.22844235752332,8.844684412545385,8.199386252125645,40
gbdt__miwae,Porosity,-6.077420354872282,75.49215485132677,8.68862214918607,8.044247220781129,40
multitask_gp__miwae,Porosity,-5.398140195491896,68.24653138852436,8.261145888345295,7.699612693617022,40
random_forest__softimpute,Porosity,-0.4096709801982945,15.036424938825283,3.8776829342824413,3.4211090465280933,40
ridge__softimpute,Porosity,-1.084982617227472,22.239717680991312,4.71590051644342,4.235554050016715,40
multitask_lasso__softimpute,Porosity,-1.0954156110209294,22.35100246323212,4.72768468314376,4.24508636865777,40
multitask_elasticnet__softimpute,Porosity,-1.0907724482419447,22.301475609387737,4.722443817494046,4.240679395295176,40
multioutput_gp__softimpute,Porosity,-0.6574203457782639,17.6790733238128,4.204649013153512,3.8521822381404656,40
multioutput_svr__softimpute,Porosity,-0.38479648138647793,14.771098107579764,3.8433186320652317,3.3268036332519184,40
gbdt__softimpute,Porosity,-0.4216116204540201,15.163791213260101,3.894071290212867,3.478371493699232,40
multitask_gp__softimpute,Porosity,-0.39024635061771207,14.82922979275522,3.850873899877172,3.4987069276595744,40
random_forest__低秩矩阵,Porosity,-8.493434651250086,101.26286172471609,10.062944982693491,9.53149336150508,40
ridge__低秩矩阵,Porosity,-6.985377150955128,85.17698514419098,9.229137833199317,8.540234365019082,40
multitask_lasso__低秩矩阵,Porosity,-6.989001751676505,85.21564738342678,9.231232170378274,8.539763690798805,40
multitask_elasticnet__低秩矩阵,Porosity,-6.987715355022932,85.20192587890925,9.230488929569725,8.54018317314467,40
multioutput_gp__低秩矩阵,Porosity,-7.434900164581434,89.97187639726599,9.485350620681661,8.905349864386839,40
multioutput_svr__低秩矩阵,Porosity,-8.619217280357804,102.60453725592426,10.129389777075628,9.570695996158314,40
gbdt__低秩矩阵,Porosity,-8.39264141081361,100.18773851124762,10.009382523974574,9.44936976631634,40
multitask_gp__低秩矩阵,Porosity,-8.04503847865602,96.47999005694663,9.822422820106382,9.278103930425532,40
random_forest__vae,Porosity,-0.00411538331185346,10.710517420855627,3.272692686589382,1.98838233426953,40
ridge__vae,Porosity,-0.05228369722184678,11.224310530532543,3.350270217539556,2.011568255319149,40
multitask_lasso__vae,Porosity,-0.06315452116549092,11.34026548069318,3.3675310660323805,2.0174647872340423,40
multitask_elasticnet__vae,Porosity,-0.05823136234981163,11.287752015470632,3.3597249910477243,2.0146673297872337,40
multioutput_gp__vae,Porosity,-0.006087459157838371,10.73155280489088,3.2759048833705293,1.9940754886383714,40
multioutput_svr__vae,Porosity,0.020666961877383372,10.44617355730131,3.2320540771003987,2.02243128485803,40
gbdt__vae,Porosity,0.04530764017467748,10.183340800676863,3.191134719919681,1.9724764780800876,40
multitask_gp__vae,Porosity,0.039058877990842844,10.249993973550282,3.201561177542963,2.0170772234042555,40
random_forest__vanilla,Porosity,-0.006649549965672463,10.73754841405041,3.2768198629235648,1.9875191466577227,40
ridge__vanilla,Porosity,-0.05639124442594068,11.268124176471648,3.356802671661182,2.0118435319148933,40
multitask_lasso__vanilla,Porosity,-0.06742979450133624,11.385868197575638,3.3742952149412826,2.016439765957447,40
multitask_elasticnet__vanilla,Porosity,-0.06243272510900777,11.332566356303941,3.366387731130201,2.014399819148936,40
multioutput_gp__vanilla,Porosity,-0.007730934002929679,10.749083126855504,3.2785794373257917,1.9843019631568424,40
multioutput_svr__vanilla,Porosity,0.013086312828392677,10.527033461501574,3.244539021417615,2.012135517899195,40
gbdt__vanilla,Porosity,0.0457986733886242,10.178103135882955,3.1903139556919715,1.9672080881725742,40
multitask_gp__vanilla,Porosity,0.03378625317317896,10.306235059885363,3.210332546619643,2.0013241170212765,40
random_forest__vae_miwae,Porosity,-0.7119520925156992,18.260742754565452,4.273259031999517,3.1543174447066398,40
ridge__vae_miwae,Porosity,-0.8182624459225345,19.394714916634793,4.403943110058847,3.1514745212765964,40
multitask_lasso__vae_miwae,Porosity,-0.8227515301314778,19.442598272893107,4.409376177294597,3.145490989361703,40
multitask_elasticnet__vae_miwae,Porosity,-0.8207465982997106,19.421212426536542,4.40695046790142,3.1482310276595737,40
multioutput_gp__vae_miwae,Porosity,-0.14993591531757944,12.265929651683589,3.5022749251998464,2.8591044348858774,40
