model,label,r2,mse,rmse,mae,seed
subset__compressive_strength,Compressive strength,0.21645695085008,264.4865961830332,16.26304387816233,12.983729816170813,10
catboost,Compressive strength,0.8129469353409449,63.140153474595294,7.946077867388118,5.853878374629195,10
mt_extra_trees,Compressive strength,0.45059301314248135,185.45347831337648,13.61813049993928,10.050011090357064,10
subset__compressive_strength,Compressive strength,0.24408498889021735,255.16069411756402,15.973750158230347,12.793481072080981,20
catboost,Compressive strength,0.8129469353409449,63.140153474595294,7.946077867388118,5.853878374629195,20
mt_extra_trees,Compressive strength,0.45059301314248135,185.45347831337648,13.61813049993928,10.050011090357064,20
subset__compressive_strength,Compressive strength,0.223640142612758,262.06189476924123,16.188325879140226,13.12131709067527,30
catboost,Compressive strength,0.8129469353409449,63.140153474595294,7.946077867388118,5.853878374629195,30
mt_extra_trees,Compressive strength,0.45059301314248135,185.45347831337648,13.61813049993928,10.050011090357064,30
subset__compressive_strength,Compressive strength,0.25407476216678804,251.78862523962945,15.867848790545915,12.731801447299725,40
catboost,Compressive strength,0.8129469353409449,63.140153474595294,7.946077867388118,5.853878374629195,40
mt_extra_trees,Compressive strength,0.45059301314248135,185.45347831337648,13.61813049993928,10.050011090357064,40
subset__compressive_strength,Compressive strength,0.22865802527544088,260.3680979741083,16.13592569312676,13.036259715066253,50
catboost,Compressive strength,0.8129469353409449,63.140153474595294,7.946077867388118,5.853878374629195,50
mt_extra_trees,Compressive strength,0.45059301314248135,185.45347831337648,13.61813049993928,10.050011090357064,50
subset__compressive_strength,Compressive strength,0.19550289473080518,271.55968168258295,16.479067985859604,13.236923806739584,60
catboost,Compressive strength,0.8129469353409449,63.140153474595294,7.946077867388118,5.853878374629195,60
mt_extra_trees,Compressive strength,0.45059301314248135,185.45347831337648,13.61813049993928,10.050011090357064,60
subset__compressive_strength,Compressive strength,0.22644761085550635,261.1142279879175,16.15902930215542,12.771591066784866,70
catboost,Compressive strength,0.8129469353409449,63.140153474595294,7.946077867388118,5.853878374629195,70
mt_extra_trees,Compressive strength,0.45059301314248135,185.45347831337648,13.61813049993928,10.050011090357064,70
subset__compressive_strength,Compressive strength,0.22285046292089994,262.3284528020143,16.196556819337076,12.775160724417413,80
catboost,Compressive strength,0.8129469353409449,63.140153474595294,7.946077867388118,5.853878374629195,80
mt_extra_trees,Compressive strength,0.45059301314248135,185.45347831337648,13.61813049993928,10.050011090357064,80
subset__compressive_strength,Compressive strength,0.21529622340451404,264.87840216166717,16.27508531964325,12.876798328996644,90
catboost,Compressive strength,0.8129469353409449,63.140153474595294,7.946077867388118,5.853878374629195,90
mt_extra_trees,Compressive strength,0.45059301314248135,185.45347831337648,13.61813049993928,10.050011090357064,90
subset__compressive_strength,Compressive strength,0.21093314114038741,266.3511697117812,16.320268677683625,12.975409392864812,100
catboost,Compressive strength,0.8129469353409449,63.140153474595294,7.946077867388118,5.853878374629195,100
mt_extra_trees,Compressive strength,0.45059301314248135,185.45347831337648,13.61813049993928,10.050011090357064,100
