model,label,r2,mse,rmse,mae,seed
subset__porosity,Porosity,-0.37283038066429675,14.6434602560194,3.826677443425223,3.313614042783455,10
catboost,Porosity,-0.1421186597840991,12.182545955978751,3.4903504059017845,2.226709845382013,10
mt_extra_trees,Porosity,-16.151989966434165,182.95376247689583,13.526040162475336,13.229651271849312,10
subset__porosity,Porosity,-0.5324335526661148,16.34588667290299,4.043004659025635,3.610378790181448,20
catboost,Porosity,-0.1421186597840991,12.182545955978751,3.4903504059017845,2.226709845382013,20
mt_extra_trees,Porosity,-16.151989966434165,182.95376247689583,13.526040162475336,13.229651271849312,20
subset__porosity,Porosity,-0.5312790198521382,16.333571709879255,4.041481375668983,3.577990130023638,30
catboost,Porosity,-0.1421186597840991,12.182545955978751,3.4903504059017845,2.226709845382013,30
mt_extra_trees,Porosity,-16.151989966434165,182.95376247689583,13.526040162475336,13.229651271849312,30
subset__porosity,Porosity,-0.5457741479802918,16.48818573622956,4.06056470656848,3.6412233451536635,40
catboost,Porosity,-0.1421186597840991,12.182545955978751,3.4903504059017845,2.226709845382013,40
mt_extra_trees,Porosity,-16.151989966434165,182.95376247689583,13.526040162475336,13.229651271849312,40
subset__porosity,Porosity,-0.47217290232579856,15.70310920331253,3.962714877872559,3.4928666202296514,50
catboost,Porosity,-0.1421186597840991,12.182545955978751,3.4903504059017845,2.226709845382013,50
mt_extra_trees,Porosity,-16.151989966434165,182.95376247689583,13.526040162475336,13.229651271849312,50
subset__porosity,Porosity,-0.4768217217537434,15.752696394482921,3.968966665831665,3.4808586626139815,60
catboost,Porosity,-0.1421186597840991,12.182545955978751,3.4903504059017845,2.226709845382013,60
mt_extra_trees,Porosity,-16.151989966434165,182.95376247689583,13.526040162475336,13.229651271849312,60
subset__porosity,Porosity,-0.4648289444756999,15.624773994233193,3.9528184873875998,3.48196281239446,70
catboost,Porosity,-0.1421186597840991,12.182545955978751,3.4903504059017845,2.226709845382013,70
mt_extra_trees,Porosity,-16.151989966434165,182.95376247689583,13.526040162475336,13.229651271849312,70
subset__porosity,Porosity,-0.5428679469241806,16.457186393367863,4.056745788605427,3.6282183088483615,80
catboost,Porosity,-0.1421186597840991,12.182545955978751,3.4903504059017845,2.226709845382013,80
mt_extra_trees,Porosity,-16.151989966434165,182.95376247689583,13.526040162475336,13.229651271849312,80
subset__porosity,Porosity,-0.5699642004774574,16.74621183859616,4.09221356219298,3.6590570753123903,90
catboost,Porosity,-0.1421186597840991,12.182545955978751,3.4903504059017845,2.226709845382013,90
mt_extra_trees,Porosity,-16.151989966434165,182.95376247689583,13.526040162475336,13.229651271849312,90
subset__porosity,Porosity,-0.5390689272427003,16.41666369333068,4.051748226794291,3.6084473066531557,100
catboost,Porosity,-0.1421186597840991,12.182545955978751,3.4903504059017845,2.226709845382013,100
mt_extra_trees,Porosity,-16.151989966434165,182.95376247689583,13.526040162475336,13.229651271849312,100
