model,label,r2,mse,rmse,mae,seed
lightgbm__hyperimpute,Flexural strength,0.26758519864446073,19.723893886445495,4.441159070157868,3.131397607640186,40
hist_gbr__hyperimpute,Flexural strength,0.2684822038701492,19.699737580682257,4.4384386422121755,3.270803359786473,40
xgboost__hyperimpute,Flexural strength,0.27099725773127714,19.632007306275224,4.430802106422179,3.1868597399999996,40
hmlasso__hyperimpute,Flexural strength,-21.786352512604417,613.6353309435357,24.771663871115635,24.347604889894694,40
sst_xgb__hyperimpute,Flexural strength,0.40876380956846525,15.92196097118058,3.9902331975939176,3.2780047813741997,40
erc_xgb__hyperimpute,Flexural strength,0.42375601132082763,15.518221729509747,3.9393174192377223,2.867189224469038,40
lightgbm__knn_based_method_matimputer,Flexural strength,0.047340752089180205,25.655065791894884,5.0650829995070055,3.272768215185433,40
hist_gbr__knn_based_method_matimputer,Flexural strength,0.36861116830192586,17.003269587740455,4.123502102308238,2.8611667794303215,40
xgboost__knn_based_method_matimputer,Flexural strength,-0.18525410039017287,31.91883350978565,5.649675522522125,3.6773289255319144,40
hmlasso__knn_based_method_matimputer,Flexural strength,-15.769647765127804,451.60577369583365,21.251018180215123,20.61706271921259,40
sst_xgb__knn_based_method_matimputer,Flexural strength,-0.01795183866463712,27.41339198794653,5.235779978947408,3.604994696314358,40
erc_xgb__knn_based_method_matimputer,Flexural strength,0.07166450554028403,25.000028330743493,5.000002833073546,3.409693358816904,40
lightgbm__gain,Flexural strength,0.5578365933313875,11.907438377078071,3.4507156326011668,2.859648424904032,40
hist_gbr__gain,Flexural strength,0.5358319490539867,12.500022344432585,3.535537065911286,2.8263732008136984,40
xgboost__gain,Flexural strength,0.3357806236287636,17.887394510078444,4.229349182803241,3.260234349361702,40
hmlasso__gain,Flexural strength,-16.573764331112038,473.260592509506,21.75455337416758,21.08091197795229,40
sst_xgb__gain,Flexural strength,0.4665807773270292,14.36495292765747,3.7901125217673246,3.185208684204932,40
erc_xgb__gain,Flexural strength,0.504986578469949,13.330686628062093,3.6511212836691818,2.9150178320532403,40
lightgbm__sinkhorn,Flexural strength,0.5168713702898022,13.010629780107312,3.607025059534146,2.917407785048922,40
hist_gbr__sinkhorn,Flexural strength,0.5404272372494299,12.376271463679206,3.5179925332040156,2.8063430807845093,40
xgboost__sinkhorn,Flexural strength,0.5298685860252768,12.66061541186778,3.558175854545104,2.9385451178723416,40
hmlasso__sinkhorn,Flexural strength,-13.88411846173723,400.82856407223153,20.02070338605094,19.350555392227946,40
sst_xgb__sinkhorn,Flexural strength,0.601146413851861,10.741107081470975,3.2773628242034745,2.6126669950998895,40
erc_xgb__sinkhorn,Flexural strength,0.7146359253853147,7.684840224810674,2.7721544374025546,2.2263208699375445,40
lightgbm__mice_iterativeimputer,Flexural strength,0.40542207514052264,16.01195371181257,4.00149393499635,3.259034939154829,40
hist_gbr__mice_iterativeimputer,Flexural strength,0.4693991189874134,14.289055128019498,3.780086656152144,3.184134428219394,40
xgboost__mice_iterativeimputer,Flexural strength,0.21644756965434764,21.1010276717522,4.593585491938971,4.110939386382979,40
hmlasso__mice_iterativeimputer,Flexural strength,-23.936456037129933,671.5375110798806,25.91404080956655,25.340673353790812,40
sst_xgb__mice_iterativeimputer,Flexural strength,0.3149774181858359,18.447623789845622,4.295069707216126,3.375704064612439,40
erc_xgb__mice_iterativeimputer,Flexural strength,0.34399162552376117,17.666272640642443,4.203126531600309,3.423967312017346,40
lightgbm__knn插补,Flexural strength,0.4262328005721906,15.45152191912558,3.9308423930660945,3.0844172546733164,40
hist_gbr__knn插补,Flexural strength,0.42937026470603856,15.367030167274017,3.920080377654777,3.2873167471915994,40
xgboost__knn插补,Flexural strength,0.5184274493851617,12.968724648071499,3.6012115528071242,2.9281854502127653,40
hmlasso__knn插补,Flexural strength,-15.6022779308386,447.0985124482423,21.144704122977043,20.526041997910784,40
sst_xgb__knn插补,Flexural strength,0.3184251314081594,18.35477704559339,4.284247547188817,3.283640079407723,40
erc_xgb__knn插补,Flexural strength,0.4294445476582145,15.365029731095529,3.9198252169064283,3.1058726553355114,40
lightgbm__mida,Flexural strength,0.441367034519777,15.043957757557074,3.8786541167726045,3.181444387687739,40
hist_gbr__mida,Flexural strength,0.5413950390201986,12.350208610505806,3.5142863586375266,2.8039407356502712,40
xgboost__mida,Flexural strength,0.38172392778402087,16.650143632196347,4.080458752664502,3.195546125957448,40
hmlasso__mida,Flexural strength,-9.94623098790573,294.7814517980607,17.169200674407083,16.433684175808693,40
sst_xgb__mida,Flexural strength,0.5436664591834884,12.289039379368827,3.5055726178997957,2.6250332785548958,40
erc_xgb__mida,Flexural strength,0.4802208697237923,13.997625923155182,3.741340123960288,2.940854061134786,40
lightgbm__miwae,Flexural strength,0.005343368192553322,26.786053235010844,5.175524440577094,4.194637480451459,40
hist_gbr__miwae,Flexural strength,0.0008991124087828206,26.905736820488737,5.1870740133999185,4.223969975383362,40
xgboost__miwae,Flexural strength,-0.16370269608712995,31.338455272220845,5.5980760330868,4.495157513617021,40
hmlasso__miwae,Flexural strength,-8.82165480652898,264.49667160567935,16.263353639568912,15.475474241899251,40
sst_xgb__miwae,Flexural strength,0.5878838879142831,11.098266240153833,3.331406045523997,2.6261610223766567,40
erc_xgb__miwae,Flexural strength,0.46487375608735904,14.410922924073228,3.796172140995878,3.0162978137394285,40
