model,label,r2,mse,rmse,mae,seed
lightgbm__hyperimpute,Flowability,0.09463949959905316,10.998632555179318,3.31641863388495,2.943366379627599,40
hist_gbr__hyperimpute,Flowability,-0.01924437401791379,12.382133248349378,3.5188255495760767,3.1031661576465646,40
xgboost__hyperimpute,Flowability,-0.1267675842570959,13.68836240242704,3.6997786964124004,3.209967635574469,40
hmlasso__hyperimpute,Flowability,-0.6708074450935821,20.297546834552666,4.5052798841528885,3.436027147409141,40
sst_xgb__hyperimpute,Flowability,0.05522900944897047,11.477404823008888,3.3878318764379216,2.9588943847763876,40
erc_xgb__hyperimpute,Flowability,0.030283257697947485,11.780454444900625,3.4322666628484195,3.0396396286534704,40
lightgbm__knn_based_method_matimputer,Flowability,0.27457300292306064,8.812738111418554,2.9686256266862876,2.5716735406408917,40
hist_gbr__knn_based_method_matimputer,Flowability,0.2420688932490228,9.207609280063167,3.034404271032976,2.6410203181900576,40
xgboost__knn_based_method_matimputer,Flowability,0.23212388595221045,9.328424669035599,3.0542469888723143,2.6193519657446807,40
hmlasso__knn_based_method_matimputer,Flowability,-1.4405193791945257,29.64827368066925,5.445022835642588,4.554413462451982,40
sst_xgb__knn_based_method_matimputer,Flowability,0.22777327573771988,9.381277386951611,3.0628870999355513,2.6536325949982857,40
erc_xgb__knn_based_method_matimputer,Flowability,0.16976311795148513,10.086004851509887,3.175847107703689,2.706007996721755,40
lightgbm__gain,Flowability,-0.0017797180498937415,12.169966566005929,3.488547916541484,3.0963422728299945,40
hist_gbr__gain,Flowability,0.027720283790294675,11.811590338554371,3.4367994324013686,3.0633759368389333,40
xgboost__gain,Flowability,-0.09717320060224388,13.32883959204093,3.6508683339776757,3.26797103493617,40
hmlasso__gain,Flowability,-1.3491351170180303,28.53810605069166,5.342106892480874,4.624172831176161,40
sst_xgb__gain,Flowability,-0.15935929923075842,14.08429783055727,3.752905252009071,3.3209976631701243,40
erc_xgb__gain,Flowability,-0.08301898354951387,13.156889266838663,3.627242653426796,3.2164581095751967,40
lightgbm__sinkhorn,Flowability,-0.036320823155087556,12.589583859817193,3.548180358975174,3.070657751215445,40
hist_gbr__sinkhorn,Flowability,-0.037505708126260195,12.603978252340735,3.550208198449879,3.0856012496506415,40
xgboost__sinkhorn,Flowability,-0.031184509825851414,12.527186148660675,3.539376519764558,3.069490434085106,40
hmlasso__sinkhorn,Flowability,-2.1500811097029504,38.26827504545507,6.186135711852357,5.150709272903201,40
sst_xgb__sinkhorn,Flowability,-0.010462188913420212,12.275444225630674,3.50363300384482,3.0584035195543238,40
erc_xgb__sinkhorn,Flowability,-0.005609715969416396,12.216494705664413,3.4952102519969257,3.0458242272840153,40
lightgbm__mice_iterativeimputer,Flowability,0.20971515559007115,9.600653677449495,3.09849216191513,2.771173390940302,40
hist_gbr__mice_iterativeimputer,Flowability,0.18607750942844736,9.887811980121095,3.1444891445386,2.818198482734836,40
xgboost__mice_iterativeimputer,Flowability,0.31416606543568026,8.331747891370634,2.8864767262825164,2.500965542340426,40
hmlasso__mice_iterativeimputer,Flowability,-0.4374439690450431,17.46256659881166,4.178823590295678,3.526835340612761,40
sst_xgb__mice_iterativeimputer,Flowability,0.3050966754720559,8.441925978072405,2.905499264854907,2.602168625787925,40
erc_xgb__mice_iterativeimputer,Flowability,0.2911411815286604,8.611462146197105,2.9345292886930103,2.60079314808502,40
lightgbm__knn插补,Flowability,0.18555678310629453,9.894137943620311,3.145494864662842,2.799454342977399,40
hist_gbr__knn插补,Flowability,0.15976694458210083,10.207441823632081,3.1949087347891614,2.8382857130425903,40
xgboost__knn插补,Flowability,0.1817913865061025,9.93988128410368,3.1527577268327613,2.7783088761276593,40
hmlasso__knn插补,Flowability,-0.46415615186336545,17.78707543638011,4.217472636115154,3.294212861554776,40
sst_xgb__knn插补,Flowability,0.12218626730483184,10.663984891685535,3.265575736632904,2.8640390586379705,40
erc_xgb__knn插补,Flowability,0.2007961777752837,9.7090045053343,3.1159275513616005,2.763800688351313,40
lightgbm__mida,Flowability,-1.3810781283346447,28.926160802386466,5.378304640161848,4.172626292229138,40
hist_gbr__mida,Flowability,-1.3952644273517651,29.098500870390442,5.394302630590023,4.185514375953428,40
xgboost__mida,Flowability,-1.4252057930282782,29.462238938409076,5.427912944991756,4.206608482085106,40
hmlasso__mida,Flowability,-2.0445415463869514,36.98614392041406,6.081623460920123,5.034136757240815,40
sst_xgb__mida,Flowability,-1.3648367639592163,28.728855089489773,5.359930511628837,4.149059201509273,40
erc_xgb__mida,Flowability,-1.4296894660350836,29.516708149157267,5.43292813767652,4.2101401394105595,40
lightgbm__miwae,Flowability,-1.7917462442126282,33.91509913873916,5.823667155559215,4.793158937105388,40
hist_gbr__miwae,Flowability,-1.7850712020948225,33.83400841795824,5.816700819017447,4.787951768957362,40
xgboost__miwae,Flowability,-1.8989056937819608,35.21690920236178,5.9343836413196085,4.889367628255319,40
hmlasso__miwae,Flowability,-2.123594831362312,37.946510573629894,6.160073909753835,5.124538998795165,40
sst_xgb__miwae,Flowability,-1.7415788093460876,33.30564778528535,5.771104555047097,4.743742989470683,40
erc_xgb__miwae,Flowability,-1.866612531722354,34.824600698311535,5.901237217593573,4.826652973868887,40
lightgbm__softimpute,Flowability,-0.6098698935373308,19.557256377786896,4.422358689408504,3.6371586241619585,40
hist_gbr__softimpute,Flowability,-0.6427952930181755,19.957245520743683,4.467353301535898,3.6230353330290503,40
xgboost__softimpute,Flowability,-0.6105120650474853,19.565057699442153,4.423240633228329,3.6475047046382976,40
hmlasso__softimpute,Flowability,-2.4131414446344737,41.46402299610335,6.4392564008667454,5.4378310293395,40
sst_xgb__softimpute,Flowability,-0.5392486658895008,18.699325273933603,4.3242716466398825,3.558374092878057,40
erc_xgb__softimpute,Flowability,-0.5346292638200305,18.64320717957866,4.317778037321819,3.5670494339431063,40
lightgbm__低秩矩阵,Flowability,-2.485483273774116,42.34285656209626,6.507138892178056,5.586122773148256,40
hist_gbr__低秩矩阵,Flowability,-2.46792583218184,42.129562687891514,6.490728979698006,5.567445080324253,40
xgboost__低秩矩阵,Flowability,-2.4731721180701562,42.193296383739145,6.495636718885928,5.578171108446809,40
hmlasso__低秩矩阵,Flowability,-2.1185192221727513,37.88485031736187,6.155067044099671,5.179667091520405,40
