model,label,r2,mse,rmse,mae,seed
lightgbm__hyperimpute,Porosity,-1.500981998077632,26.67702507584974,5.164980646222185,4.706561670707076,40
hist_gbr__hyperimpute,Porosity,-1.3756130127729134,25.33976172598216,5.033861512396041,4.566193792717897,40
xgboost__hyperimpute,Porosity,-1.8378305062127054,30.27006017373892,5.501823349921271,4.982099204255319,40
hmlasso__hyperimpute,Porosity,-5.8423387743448245,72.98462891814462,8.543104173433953,7.7989639375792805,40
sst_xgb__hyperimpute,Porosity,-1.1626319794146367,23.067973935447743,4.802913067654644,4.252497759879904,40
erc_xgb__hyperimpute,Porosity,-1.2266472488023794,23.75080050037573,4.873479301318077,4.381459532663332,40
lightgbm__knn_based_method_matimputer,Porosity,-0.9965763420969833,21.296721521750143,4.61483710674062,3.341926151591448,40
hist_gbr__knn_based_method_matimputer,Porosity,-0.9708389557209154,21.022190596589965,4.584996248263455,3.36823142548066,40
xgboost__knn_based_method_matimputer,Porosity,-0.8526668833275461,19.7616939832892,4.445412689873596,3.224877106382979,40
hmlasso__knn_based_method_matimputer,Porosity,-4.159795843490202,55.03758252112806,7.418731867450667,6.9222195477146125,40
sst_xgb__knn_based_method_matimputer,Porosity,-0.1007273189975959,11.741040244648831,3.426520136326187,2.2412423081093644,40
erc_xgb__knn_based_method_matimputer,Porosity,-0.5960815477412982,17.024795662233316,4.126111445687491,3.038368930410832,40
lightgbm__gain,Porosity,-10.917494476930441,127.11938720340427,11.274723375915006,10.786550619721435,40
hist_gbr__gain,Porosity,-10.943539497250631,127.397199543004,11.287036791957577,10.805093496654287,40
xgboost__gain,Porosity,-11.395938462926635,132.22276748427817,11.498815916618465,11.040487829787233,40
hmlasso__gain,Porosity,-3.6728558114804724,49.8435781443099,7.059998452146424,6.4615017230978875,40
sst_xgb__gain,Porosity,-11.167379873846961,129.784819823373,11.392314067974645,10.89500130349017,40
erc_xgb__gain,Porosity,-11.264043375515381,130.81589268191817,11.437477548914279,10.965711086624903,40
lightgbm__sinkhorn,Porosity,-0.04873931812111376,11.186503984855186,3.344623145416414,2.133631678644863,40
hist_gbr__sinkhorn,Porosity,-0.06144220598418748,11.322000865008421,3.364818102811565,2.14769389510431,40
xgboost__sinkhorn,Porosity,0.03140478284857384,10.331637299331994,3.2142864370388637,2.073118627659574,40
hmlasso__sinkhorn,Porosity,-8.444288121392985,100.73863435706745,10.036863770972856,9.467698105816499,40
sst_xgb__sinkhorn,Porosity,-0.042516341364045473,11.120125855335521,3.334685270806755,2.106598974998961,40
erc_xgb__sinkhorn,Porosity,-0.07110719086936457,11.425093587921964,3.380102600206385,2.133528706435616,40
lightgbm__mice_iterativeimputer,Porosity,-1.328733655967849,24.839717432184894,4.983945970030664,3.6844582639801615,40
hist_gbr__mice_iterativeimputer,Porosity,-0.9103515324654738,20.376994226444456,4.514088415886917,3.5412484313148513,40
xgboost__mice_iterativeimputer,Porosity,-2.6017798935217966,38.41881813264849,6.198291549503661,4.751557538297872,40
hmlasso__mice_iterativeimputer,Porosity,-4.309784364150366,56.63745310388969,7.525785879487251,6.4926126914734565,40
sst_xgb__mice_iterativeimputer,Porosity,-1.0425680524111116,21.787297627565493,4.6676865391289395,3.629732573666472,40
erc_xgb__mice_iterativeimputer,Porosity,-0.8966284708279793,20.23061554011154,4.497845655434559,3.7021666818138543,40
lightgbm__knn插补,Porosity,-4.278343205672382,56.3020822080673,7.503471343855942,6.657672149520045,40
hist_gbr__knn插补,Porosity,-4.337058370381677,56.92837456942235,7.545089434156653,6.730944161043187,40
xgboost__knn插补,Porosity,-4.269016408592963,56.202596806030705,7.49683912099164,6.677180082978723,40
hmlasso__knn插补,Porosity,-1.0188055199454027,21.53383171899811,4.640455981797275,4.118127880420884,40
sst_xgb__knn插补,Porosity,-4.1565866370248346,55.003351134650266,7.416424417106283,6.585760390099057,40
erc_xgb__knn插补,Porosity,-4.282213494751077,56.34336511169575,7.50622176009314,6.709063321242094,40
lightgbm__mida,Porosity,-4.714835068999863,60.957975130264224,7.807558845776587,7.212737991235973,40
hist_gbr__mida,Porosity,-4.539345355231772,59.08609300622515,7.686747882311813,7.062109898666573,40
xgboost__mida,Porosity,-4.600338663590384,59.736685460626035,7.728951122929038,7.07683557148936,40
hmlasso__mida,Porosity,-7.575056080940435,91.46686632446725,9.56383115307183,8.92449894887968,40
sst_xgb__mida,Porosity,-4.542269896823141,59.117287980610534,7.688776754504616,7.039306466782347,40
erc_xgb__mida,Porosity,-4.510396280384941,58.777304219978326,7.666635782400148,7.038801755617696,40
lightgbm__miwae,Porosity,-5.880747462848004,73.39431981040912,8.567048488855956,7.913078826842022,40
