iter	MultiRMSEWithMissingValues
0	36.79250422
1	36.19660015
2	35.68227022
3	35.11935228
4	34.56182486
5	33.99221943
6	33.47874249
7	32.92303234
8	32.46537698
9	31.89722666
10	31.48031546
11	30.92332683
12	30.46973407
13	29.98221369
14	29.51455885
15	29.10770829
16	28.69056307
17	28.25879649
18	28.00631248
19	27.62048799
20	27.3492128
21	27.03751947
22	26.69778602
23	26.34132046
24	26.0484746
25	25.76948595
26	25.50694423
27	25.24018373
28	24.94748347
29	24.65604808
30	24.43163502
31	24.14281403
32	23.86557623
33	23.52848782
34	23.36599041
35	23.15690984
36	22.94059373
37	22.68238563
38	22.41478476
39	22.26920725
40	22.06543742
41	21.79545454
42	21.56141889
43	21.33951256
44	21.17202485
45	20.92084234
46	20.69480932
47	20.48188968
48	20.29949847
49	20.13652287
50	19.95889655
51	19.74283375
52	19.54831686
53	19.34239551
54	19.17737505
55	18.96899259
56	18.83265415
57	18.75414204
58	18.57474331
59	18.42859123
60	18.29532846
61	18.2060916
62	18.12144339
63	17.99072769
64	17.88276641
65	17.75700341
66	17.65512912
67	17.52804154
68	17.44716019
69	17.29015795
70	17.21289502
71	17.0549449
72	16.94388424
73	16.84860273
74	16.70958526
75	16.60177883
76	16.51079286
77	16.42350737
78	16.27578415
79	16.18297984
80	16.11904768
81	15.99363824
82	15.89656333
83	15.78973059
84	15.65021184
85	15.54216045
86	15.46356408
87	15.35805861
88	15.28554287
89	15.22657477
90	15.15169167
91	15.06743192
92	14.99156259
93	14.92147284
94	14.77120846
95	14.70117687
96	14.57668946
97	14.49059309
98	14.39287814
99	14.33302939
100	14.2767837
101	14.19964405
102	14.13493612
103	13.97165979
104	13.9293364
105	13.85297913
106	13.81141629
107	13.73993016
108	13.70231699
109	13.62001496
110	13.56511682
111	13.49879678
112	13.44753105
113	13.395737
114	13.37973896
115	13.33481464
116	13.24620161
117	13.20301408
118	13.14076452
119	13.07785363
120	12.97871016
121	12.88847925
122	12.85283204
123	12.79109704
124	12.72706197
125	12.69082683
126	12.66294936
127	12.59033808
128	12.5487713
129	12.48945408
130	12.450134
131	12.37606842
132	12.34353303
133	12.33378025
134	12.32025231
135	12.24425471
136	12.20167378
137	12.11804083
138	12.10347461
139	12.02520807
140	11.98688708
141	11.95047466
142	11.89325722
143	11.82105943
144	11.76600945
145	11.70694111
146	11.66132303
147	11.61472335
148	11.58504575
149	11.52196336
150	11.48353257
151	11.47443173
152	11.41303314
153	11.3472291
154	11.2908516
155	11.24903935
156	11.18019108
157	11.1485551
158	11.08418736
159	11.05613583
160	11.02632462
161	10.9691601
162	10.92242492
163	10.8773395
164	10.86539889
165	10.85590744
166	10.82966745
167	10.80556951
168	10.76059515
169	10.73428361
170	10.68394451
171	10.65556922
172	10.64282942
173	10.58662503
174	10.5429552
175	10.52067068
176	10.51654012
177	10.49745062
178	10.45391417
179	10.40506525
180	10.37996
181	10.35099294
182	10.31282822
183	10.28175086
184	10.2481472
185	10.21627029
186	10.1943654
187	10.16825887
188	10.13591875
189	10.07033389
190	10.04423316
191	10.00688299
192	9.997026967
193	9.97767131
194	9.958242865
195	9.936313648
196	9.915186199
197	9.898728467
198	9.851344803
199	9.829399651
200	9.81374915
201	9.786199021
202	9.7352475
203	9.713846654
204	9.692819019
205	9.641549219
206	9.621614024
207	9.596160278
208	9.582475747
209	9.562386665
210	9.554437376
211	9.534233154
212	9.507962579
213	9.495720862
214	9.463832942
215	9.43739263
216	9.420768384
217	9.401142752
218	9.38865497
219	9.364748332
220	9.311320578
221	9.274844423
222	9.262635403
223	9.235641355
224	9.186982644
225	9.171112329
226	9.148881748
227	9.132612749
228	9.117353846
229	9.10134135
230	9.065660083
231	9.051317975
232	9.036661146
233	9.019799781
234	8.988933915
235	8.964275361
236	8.948593883
237	8.926943812
238	8.890218167
239	8.871038156
240	8.855538047
241	8.804689411
242	8.781696453
243	8.759739725
244	8.746410324
245	8.725918417
246	8.712908195
247	8.683632708
248	8.67967439
249	8.662169129
250	8.620502495
251	8.611054623
252	8.60373678
253	8.580264288
254	8.570514513
255	8.557667294
256	8.543470152
257	8.530572578
258	8.500750901
259	8.488717723
260	8.47500892
261	8.467787944
262	8.459114305
263	8.452082576
264	8.441029359
265	8.426096851
266	8.408018298
267	8.394282991
268	8.377062483
269	8.360216169
270	8.340206506
271	8.324140837
272	8.305981237
273	8.281827244
274	8.269023609
275	8.24017756
276	8.233639024
277	8.205357175
278	8.171385632
279	8.152314872
280	8.143513722
281	8.108697515
282	8.089256673
283	8.071868689
284	8.05685681
285	8.045558296
286	8.01458613
287	7.997296035
288	7.97743029
289	7.971350648
290	7.961276652
291	7.943650268
292	7.929328106
293	7.91391623
294	7.885131192
295	7.876977931
296	7.866172908
297	7.854340343
298	7.847948839
299	7.838170573
300	7.824881272
301	7.800504243
302	7.779961392
303	7.763633353
304	7.754146742
305	7.740801864
306	7.728187402
307	7.714278777
308	7.706260851
309	7.681657933
310	7.670803896
311	7.645800219
312	7.630773358
313	7.615315485
314	7.608876398
315	7.582167925
316	7.561824475
317	7.548792923
318	7.530697105
319	7.524071237
320	7.502850625
321	7.493488361
322	7.474480692
323	7.461571115
324	7.451946408
325	7.446578838
