,model,method,R2_kom,RMSE_kom,RRMSE_kom,R2,RMSE,RRMSE
0,RandomForestRegressor,missforest,0.12652890561204574,6.055874702729029,0.9345967549633126,[ 0.688662    0.59839483 -1.02288666  0.24194546],[10.25147765  3.28864823  4.6451441   3.03465135],[0.5579767  0.63372326 1.4222822  0.87066328]
1,Ridge,missforest,-0.2061250537539272,9.647020073495671,1.0982372483912242,[ 0.07184775 -0.00230317 -1.15261243  0.25856763],[17.700275    5.19538007  4.79177412  3.00119592],[0.96340659 1.00115092 1.46717839 0.86106467]
2,MultiTaskLasso,missforest,-0.2320407728602409,10.377073689072196,1.1099733207875948,[-0.10501294  0.01672663 -1.18941047  0.3495337 ],[19.31319319  5.1458238   4.83255729  2.81106558],[1.05119596 0.99160142 1.47966566 0.80651491]
3,MultiTaskElasticNet,missforest,-0.211355298035856,9.836864942405256,1.1006158721533394,[ 0.02680763  0.00447199 -1.162444    0.28574319],[18.12465505  5.17779097  4.80270433  2.94568139],[0.98650513 0.9977615  1.47052508 0.84513716]
4,MultiOutputRegressor,missforest,-0.3445807469066834,9.401058303846556,1.1595605835430434,[ 0.15057704 -0.04819261 -1.50891256  0.02820514],[16.93294118  5.3129817   5.17316318  3.4359424 ],[0.92164145 1.02381278 1.58395472 0.98579656]
5,MultiOutputRegressor,missforest,-0.3445807469066834,9.401058303846556,1.1595605835430434,[ 0.15057704 -0.04819261 -1.50891256  0.02820514],[16.93294118  5.3129817   5.17316318  3.4359424 ],[0.92164145 1.02381278 1.58395472 0.98579656]
6,RandomForestRegressor,hyperimpute,-0.6851667071124635,7.385313232673254,1.2981397101670002,[ 0.58321538  0.43920241 -4.14893534  0.38585072],[11.86113483  3.88616148  7.41092016  2.73146443],[0.64558858 0.7488642  2.26912656 0.78367677]
7,Ridge,hyperimpute,-0.8308904352246272,9.856384072391146,1.3531040001509962,[ 0.11638951 -0.2520898  -3.32873267  0.14087122],[17.27033791  5.80678185  6.79506786  3.23063363],[0.94000558 1.11896818 2.08056066 0.926892  ]
8,MultiTaskLasso,hyperimpute,-0.8391813724365544,10.275575990364915,1.356164212931662,[ 0.01300278 -0.23769194 -3.37993532  0.24789899],[18.25275256  5.77329906  6.83513763  3.02271125],[0.99347734 1.11251604 2.0928295  0.86723758]
9,MultiTaskElasticNet,hyperimpute,-0.8299897530910518,9.964305841084753,1.3527711384750385,[ 0.08962027 -0.24541127 -3.33682253  0.17265451],[17.52999095  5.79127473  6.80141447  3.17031216],[0.95413821 1.11597996 2.08250391 0.90958534]
10,MultiOutputRegressor,hyperimpute,-1.6571594962546725,10.851149868350339,1.6300795981346041,[-0.02885428 -0.22876049 -6.48225138  0.11122816],[18.63576975  5.75243066  8.93366295  3.28589527],[1.01432454 1.1084947  2.73537043 0.94274696]
11,MultiOutputRegressor,hyperimpute,-1.6571594962546725,10.851149868350339,1.6300795981346041,[-0.02885428 -0.22876049 -6.48225138  0.11122816],[18.63576975  5.75243066  8.93366295  3.28589527],[1.01432454 1.1084947  2.73537043 0.94274696]
